line_item_id,invoice_id,line_type,description,quantity,unit_price_usd,line_amount_usd,product_family,is_recurring_hint,is_recurring_line
L7142,I7038,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7143,I7039,base_subscription,Enterprise Monthly - Mar 2025,1,2340.0,2340.0,subscription,true,true
L7144,I7040,base_subscription,Enterprise Monthly - Apr 2025,1,2340.0,2340.0,subscription,true,true
L7145,I7041,base_subscription,Enterprise Monthly - May 2025,1,2340.0,2340.0,subscription,true,true
L7146,I7042,base_subscription,Enterprise Monthly - Jun 2025,1,2340.0,2340.0,subscription,true,true
L7147,I7043,base_subscription,Starter Monthly - Mar 2025,1,400.0,400.0,subscription,true,true
L7148,I7044,base_subscription,Starter Monthly - Apr 2025,1,400.0,400.0,subscription,true,true
L7149,I7045,base_subscription,Starter Monthly - May 2025,1,400.0,400.0,subscription,true,true
L7150,I7046,base_subscription,Starter Monthly - Jun 2025,1,400.0,400.0,subscription,true,true
L7151,I7047,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7152,I7048,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7153,I7049,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7154,I7050,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7155,I7051,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7156,I7052,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7157,I7053,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7158,I7054,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7159,I7055,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7160,I7056,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7161,I7057,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7162,I7058,base_subscription,Growth Monthly - Jan 2025,1,1425.0,1425.0,subscription,true,true
L7163,I7058,training_addon,One-time setup / training,1,400.0,400.0,services,false,false
L7164,I7059,base_subscription,Growth Monthly - Feb 2025,1,1425.0,1425.0,subscription,true,true
L7165,I7060,base_subscription,Growth Monthly - Mar 2025,1,1425.0,1425.0,subscription,true,true
L7166,I7061,base_subscription,Growth Monthly - Apr 2025,1,1425.0,1425.0,subscription,true,true
L7167,I7062,base_subscription,Growth Monthly - May 2025,1,1425.0,1425.0,subscription,true,true
L7168,I7063,base_subscription,Growth Monthly - Jun 2025,1,1425.0,1425.0,subscription,true,true
L7169,I7064,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7170,I7064,onboarding_addon,One-time setup / training,1,400.0,400.0,services,false,false
L7171,I7065,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7172,I7066,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7173,I7067,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7174,I7068,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7175,I7069,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7176,I7070,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7177,I7071,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7178,I7072,base_subscription,Enterprise Annual - Jan 2025,1,24300.0,24300.0,subscription,true,true
L7179,I7072,implementation_addon,Implementation package,1,2000.0,2000.0,services,false,false
L7180,I7073,base_subscription,Growth Monthly - Jan 2025,1,1350.0,1350.0,subscription,true,true
L7181,I7074,base_subscription,Growth Monthly - Feb 2025,1,1350.0,1350.0,subscription,true,true
L7182,I7075,base_subscription,Growth Monthly - Mar 2025,1,1350.0,1350.0,subscription,true,true
L7183,I7076,base_subscription,Growth Monthly - Apr 2025,1,1350.0,1350.0,subscription,true,true
L7184,I7077,base_subscription,Growth Monthly - May 2025,1,1350.0,1350.0,subscription,true,true
L7185,I7078,base_subscription,Growth Monthly - Jun 2025,1,1350.0,1350.0,subscription,true,true
L7186,I7079,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7187,I7079,training_addon,One-time setup / training,1,250.0,250.0,services,false,false
L7188,I7080,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7189,I7081,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7190,I7082,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7191,I7083,base_subscription,Starter Monthly - Mar 2025,1,400.0,400.0,subscription,true,true
L7192,I7084,base_subscription,Starter Monthly - Apr 2025,1,400.0,400.0,subscription,true,true
L7193,I7085,base_subscription,Starter Monthly - May 2025,1,400.0,400.0,subscription,true,true
L7194,I7086,base_subscription,Starter Monthly - Jun 2025,1,400.0,400.0,subscription,true,true
L7195,I7087,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7196,I7088,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7197,I7089,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7198,I7090,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7199,I7091,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7200,I7092,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7201,I7093,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7202,I7094,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7203,I7095,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7204,I7096,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7205,I7097,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7206,I7098,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7207,I7099,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7208,I7100,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7209,I7101,base_subscription,Starter Monthly - Feb 2025,1,400.0,400.0,subscription,true,true
L7210,I7102,base_subscription,Starter Monthly - Mar 2025,1,400.0,400.0,subscription,true,true
L7211,I7103,base_subscription,Starter Monthly - Apr 2025,1,400.0,400.0,subscription,true,true
L7212,I7104,base_subscription,Starter Monthly - May 2025,1,400.0,400.0,subscription,true,true
L7213,I7105,base_subscription,Starter Monthly - Jun 2025,1,400.0,400.0,subscription,true,true
L7214,I7106,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7215,I7107,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7216,I7108,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7217,I7109,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7218,I7110,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7219,I7111,base_subscription,Starter Monthly - Jan 2025,1,400.0,400.0,subscription,true,true
L7220,I7111,onboarding_addon,One-time setup / training,1,250.0,250.0,services,true,false
L7221,I7112,base_subscription,Starter Monthly - Feb 2025,1,400.0,400.0,subscription,true,true
L7222,I7113,base_subscription,Starter Monthly - Mar 2025,1,400.0,400.0,subscription,true,true
L7223,I7114,base_subscription,Starter Monthly - Apr 2025,1,400.0,400.0,subscription,true,true
L7224,I7115,base_subscription,Starter Monthly - May 2025,1,400.0,400.0,subscription,true,true
L7225,I7116,base_subscription,Starter Monthly - Jun 2025,1,400.0,400.0,subscription,true,true
L7226,I7117,base_subscription,Starter Monthly - Jan 2025,1,400.0,400.0,subscription,true,true
L7227,I7118,base_subscription,Starter Monthly - Feb 2025,1,400.0,400.0,subscription,true,true
L7228,I7119,base_subscription,Starter Monthly - Mar 2025,1,400.0,400.0,subscription,true,true
L7229,I7120,base_subscription,Starter Monthly - Apr 2025,1,400.0,400.0,subscription,true,true
L7230,I7121,base_subscription,Starter Monthly - May 2025,1,400.0,400.0,subscription,true,true
L7231,I7122,base_subscription,Starter Monthly - Jun 2025,1,400.0,400.0,subscription,true,true
L7232,I7123,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7233,I7124,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7234,I7125,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7235,I7126,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7236,I7127,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7237,I7128,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7238,I7129,base_subscription,Enterprise Monthly - Jan 2025,1,2600.0,2600.0,subscription,true,true
L7239,I7130,base_subscription,Enterprise Monthly - Feb 2025,1,2600.0,2600.0,subscription,true,true
L7240,I7131,base_subscription,Enterprise Monthly - Mar 2025,1,2600.0,2600.0,subscription,true,true
L7241,I7132,base_subscription,Enterprise Monthly - Apr 2025,1,2600.0,2600.0,subscription,true,true
L7242,I7133,base_subscription,Enterprise Monthly - May 2025,1,2600.0,2600.0,subscription,true,true
L7243,I7134,base_subscription,Enterprise Monthly - Jun 2025,1,2600.0,2600.0,subscription,true,true
L7244,I7135,base_subscription,Starter Monthly - Jan 2025,1,475.0,475.0,subscription,true,true
L7245,I7136,base_subscription,Starter Monthly - Feb 2025,1,475.0,475.0,subscription,true,true
L7246,I7137,base_subscription,Starter Monthly - Mar 2025,1,475.0,475.0,subscription,true,true
L7247,I7138,base_subscription,Starter Monthly - Apr 2025,1,475.0,475.0,subscription,true,true
L7248,I7139,base_subscription,Enterprise Monthly - Jan 2025,1,2470.0,2470.0,subscription,true,true
L7249,I7140,base_subscription,Enterprise Monthly - Feb 2025,1,2470.0,2470.0,subscription,true,true
L7250,I7141,base_subscription,Enterprise Monthly - Mar 2025,1,2470.0,2470.0,subscription,true,true
L7251,I7142,base_subscription,Enterprise Monthly - Apr 2025,1,2470.0,2470.0,subscription,true,true
L7252,I7143,base_subscription,Enterprise Monthly - May 2025,1,2470.0,2470.0,subscription,true,true
L7253,I7144,base_subscription,Enterprise Monthly - Jun 2025,1,2470.0,2470.0,subscription,true,true
L7254,I7145,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7255,I7146,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7256,I7147,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7257,I7148,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7258,I7149,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7259,I7150,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7260,I7151,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7261,I7152,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7262,I7153,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7263,I7154,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7264,I7155,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7265,I7156,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7266,I7157,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7267,I7158,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7268,I7159,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7269,I7160,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7270,I7161,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7271,I7162,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7272,I7163,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7273,I7164,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7274,I7165,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7275,I7165,onboarding_addon,One-time setup / training,1,250.0,250.0,services,false,false
L7276,I7166,base_subscription,Enterprise Monthly - Apr 2025,1,2600.0,2600.0,subscription,true,true
L7277,I7167,base_subscription,Enterprise Monthly - May 2025,1,2600.0,2600.0,subscription,true,true
L7278,I7168,base_subscription,Enterprise Monthly - Jun 2025,1,2600.0,2600.0,subscription,true,true
L7279,I7169,base_subscription,Growth Monthly - Jan 2025,1,1200.0,1200.0,subscription,true,true
L7280,I7169,training_addon,One-time setup / training,1,300.0,300.0,services,false,false
L7281,I7170,base_subscription,Growth Monthly - Feb 2025,1,1200.0,1200.0,subscription,true,true
L7282,I7171,base_subscription,Growth Monthly - Mar 2025,1,1200.0,1200.0,subscription,true,true
L7283,I7172,base_subscription,Growth Monthly - Apr 2025,1,1200.0,1200.0,subscription,true,true
L7284,I7173,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7285,I7174,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7286,I7175,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7287,I7176,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7288,I7177,base_subscription,Enterprise Monthly - May 2025,1,2600.0,2600.0,subscription,true,true
L7289,I7178,base_subscription,Enterprise Monthly - Jun 2025,1,2600.0,2600.0,subscription,true,true
L7290,I7179,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7291,I7180,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7292,I7181,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7293,I7182,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7294,I7183,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7295,I7184,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7296,I7185,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7297,I7186,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7298,I7187,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7299,I7188,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7300,I7189,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7301,I7190,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7302,I7191,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7303,I7192,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7304,I7193,base_subscription,Enterprise Monthly - May 2025,1,2600.0,2600.0,subscription,true,true
L7305,I7194,base_subscription,Enterprise Monthly - Jun 2025,1,2600.0,2600.0,subscription,true,true
L7306,I7195,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7307,I7196,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7308,I7197,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7309,I7198,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7310,I7199,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7311,I7200,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7312,I7201,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7313,I7202,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7314,I7203,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7315,I7204,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7316,I7205,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7317,I7206,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7318,I7207,base_subscription,Enterprise Monthly - Jan 2025,1,2600.0,2600.0,subscription,true,true
L7319,I7208,base_subscription,Enterprise Monthly - Feb 2025,1,2600.0,2600.0,subscription,true,true
L7320,I7209,base_subscription,Enterprise Monthly - Mar 2025,1,2600.0,2600.0,subscription,true,true
L7321,I7210,base_subscription,Enterprise Monthly - Apr 2025,1,2600.0,2600.0,subscription,true,true
L7322,I7211,base_subscription,Enterprise Monthly - May 2025,1,2600.0,2600.0,subscription,true,true
L7323,I7212,base_subscription,Enterprise Monthly - Jun 2025,1,2600.0,2600.0,subscription,true,true
L7324,I7213,base_subscription,Starter Monthly - Jan 2025,1,500.0,500.0,subscription,true,true
L7325,I7214,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7326,I7215,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7327,I7216,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7328,I7217,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7329,I7218,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7330,I7219,base_subscription,Enterprise Annual - Jan 2025,1,25650.0,25650.0,subscription,true,true
L7331,I7220,base_subscription,Growth Monthly - Jan 2025,1,1200.0,1200.0,subscription,true,true
L7332,I7221,base_subscription,Growth Monthly - Feb 2025,1,1200.0,1200.0,subscription,true,true
L7333,I7222,base_subscription,Growth Monthly - Mar 2025,1,1200.0,1200.0,subscription,true,true
L7334,I7223,base_subscription,Growth Monthly - Apr 2025,1,1200.0,1200.0,subscription,true,true
L7335,I7224,base_subscription,Growth Monthly - May 2025,1,1200.0,1200.0,subscription,true,true
L7336,I7225,base_subscription,Growth Monthly - Jun 2025,1,1200.0,1200.0,subscription,true,true
L7337,I7226,base_subscription,Enterprise Annual - Jan 2025,1,25650.0,25650.0,subscription,true,true
L7338,I7227,base_subscription,Enterprise Annual - Mar 2025,1,24300.0,24300.0,subscription,true,true
L7339,I7228,base_subscription,Enterprise Annual - Jan 2025,1,24300.0,24300.0,subscription,true,true
L7340,I7228,implementation_addon,Implementation package,1,1500.0,1500.0,services,false,false
L7341,I7229,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7342,I7229,onboarding_addon,One-time setup / training,1,250.0,250.0,services,true,false
L7343,I7230,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7344,I7231,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7345,I7232,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7346,I7233,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7347,I7234,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7348,I7235,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7349,I7236,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7350,I7237,base_subscription,Growth Monthly - Jan 2025,1,1425.0,1425.0,subscription,true,true
L7351,I7238,base_subscription,Growth Monthly - Feb 2025,1,1425.0,1425.0,subscription,true,true
L7352,I7239,base_subscription,Growth Monthly - Mar 2025,1,1425.0,1425.0,subscription,true,true
L7353,I7240,base_subscription,Growth Monthly - Apr 2025,1,1425.0,1425.0,subscription,true,true
L7354,I7241,base_subscription,Growth Monthly - May 2025,1,1425.0,1425.0,subscription,true,true
L7355,I7242,base_subscription,Growth Monthly - Jun 2025,1,1425.0,1425.0,subscription,true,true
L7356,I7243,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7357,I7244,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7358,I7245,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7359,I7246,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7360,I7247,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7361,I7248,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7362,I7249,base_subscription,Enterprise Monthly - Jan 2025,1,2470.0,2470.0,subscription,true,true
L7363,I7250,base_subscription,Enterprise Monthly - Feb 2025,1,2470.0,2470.0,subscription,true,true
L7364,I7251,base_subscription,Enterprise Monthly - Mar 2025,1,2470.0,2470.0,subscription,true,true
L7365,I7252,base_subscription,Enterprise Monthly - Apr 2025,1,2470.0,2470.0,subscription,true,true
L7366,I7253,base_subscription,Enterprise Monthly - May 2025,1,2470.0,2470.0,subscription,true,true
L7367,I7254,base_subscription,Enterprise Monthly - Jun 2025,1,2470.0,2470.0,subscription,true,true
L7368,I7255,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7369,I7256,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7370,I7257,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7371,I7258,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7372,I7259,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7373,I7260,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7374,I7261,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7375,I7262,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7376,I7263,base_subscription,Growth Monthly - Apr 2025,1,1500.0,1500.0,subscription,true,true
L7377,I7264,base_subscription,Growth Monthly - May 2025,1,1500.0,1500.0,subscription,true,true
L7378,I7265,base_subscription,Growth Monthly - Jun 2025,1,1500.0,1500.0,subscription,true,true
L7379,I7266,base_subscription,Enterprise Annual - Jan 2025,1,21600.0,21600.0,subscription,true,true
L7380,I7267,base_subscription,Starter Monthly - Feb 2025,1,500.0,500.0,subscription,true,true
L7381,I7268,base_subscription,Starter Monthly - Mar 2025,1,500.0,500.0,subscription,true,true
L7382,I7269,base_subscription,Starter Monthly - Apr 2025,1,500.0,500.0,subscription,true,true
L7383,I7270,base_subscription,Starter Monthly - May 2025,1,500.0,500.0,subscription,true,true
L7384,I7271,base_subscription,Starter Monthly - Jun 2025,1,500.0,500.0,subscription,true,true
L7385,I7272,base_subscription,Growth Monthly - Jan 2025,1,1500.0,1500.0,subscription,true,true
L7386,I7273,base_subscription,Growth Monthly - Feb 2025,1,1500.0,1500.0,subscription,true,true
L7387,I7274,base_subscription,Growth Monthly - Mar 2025,1,1500.0,1500.0,subscription,true,true
L7388,I7275,base_subscription,Enterprise Monthly - Apr 2025,1,2080.0,2080.0,subscription,true,true
L7389,I7275,onboarding_addon,One-time setup / training,1,400.0,400.0,services,false,false
L7390,I7276,base_subscription,Enterprise Monthly - May 2025,1,2080.0,2080.0,subscription,true,true
