usage_id,workspace_id,usage_date,active_users,projects_run,api_calls,storage_gb,alerts_sent,is_weekend,usage_week,weekday_num
UD9036,W2002,2025-06-06,2,13,904,23.5,4,false,2025-06-02,5
UD9037,W2002,2025-06-07,1,6,278,23.1,2,true,2025-06-02,6
UD9038,W2002,2025-06-08,2,6,454,23.8,1,true,2025-06-02,0
UD9039,W2002,2025-06-09,1,10,478,24.8,2,false,2025-06-09,1
UD9040,W2002,2025-06-10,2,15,691,24.6,2,false,2025-06-09,2
UD9041,W2002,2025-06-11,2,16,794,24.7,3,false,2025-06-09,3
UD9042,W2002,2025-06-12,1,10,724,23.9,2,false,2025-06-09,4
UD9043,W2002,2025-06-13,1,10,523,25.9,3,false,2025-06-09,5
UD9044,W2002,2025-06-14,1,5,350,24.4,1,true,2025-06-09,6
UD9045,W2002,2025-06-15,2,6,341,24.8,1,true,2025-06-09,0
UD9046,W2002,2025-06-16,1,10,592,24.5,2,false,2025-06-16,1
UD9047,W2002,2025-06-17,1,11,567,25.4,2,false,2025-06-16,2
UD9048,W2002,2025-06-18,1,12,716,26.6,2,false,2025-06-16,3
UD9049,W2002,2025-06-19,1,11,644,26.2,3,false,2025-06-16,4
UD9050,W2002,2025-06-20,1,10,516,26.6,2,false,2025-06-16,5
UD9051,W2002,2025-06-21,1,6,292,25.9,1,true,2025-06-16,6
UD9052,W2002,2025-06-22,1,5,236,25.5,1,true,2025-06-16,0
UD9053,W2002,2025-06-23,2,13,788,27.1,4,false,2025-06-23,1
UD9054,W2002,2025-06-24,1,10,647,26.8,3,false,2025-06-23,2
UD9055,W2002,2025-06-25,1,11,487,27.4,2,false,2025-06-23,3
UD9056,W2002,2025-06-26,2,13,746,28.1,3,false,2025-06-23,4
UD9057,W2002,2025-06-27,2,14,875,25.8,3,false,2025-06-23,5
UD9058,W2002,2025-06-28,1,5,261,27.7,1,true,2025-06-23,6
UD9059,W2002,2025-06-29,1,5,269,27.1,1,true,2025-06-23,0
UD9060,W2002,2025-06-30,1,11,555,27.9,2,false,2025-06-30,1
UD9061,W2003,2025-06-01,1,6,302,22.5,1,true,2025-05-26,0
UD9062,W2003,2025-06-02,1,10,539,21.8,2,false,2025-06-02,1
UD9063,W2003,2025-06-03,1,12,747,22.8,2,false,2025-06-02,2
UD9064,W2003,2025-06-04,1,11,596,22.3,2,false,2025-06-02,3
UD9065,W2003,2025-06-05,1,10,736,22.6,2,false,2025-06-02,4
UD9066,W2003,2025-06-06,1,9,441,22.6,2,false,2025-06-02,5
UD9067,W2003,2025-06-07,1,6,273,22.8,1,true,2025-06-02,6
UD9068,W2003,2025-06-08,1,6,438,23.4,1,true,2025-06-02,0
UD9069,W2003,2025-06-09,1,10,418,23.3,2,false,2025-06-09,1
UD9070,W2003,2025-06-10,1,11,687,22.3,2,false,2025-06-09,2
UD9071,W2003,2025-06-11,1,12,517,22.1,3,false,2025-06-09,3
UD9072,W2003,2025-06-12,1,11,745,23.2,2,false,2025-06-09,4
UD9073,W2003,2025-06-13,1,9,550,23.1,2,false,2025-06-09,5
UD9074,W2003,2025-06-14,1,6,355,23.4,1,true,2025-06-09,6
UD9075,W2003,2025-06-15,1,5,241,23.8,1,true,2025-06-09,0
UD9076,W2003,2025-06-16,1,10,676,24.5,2,false,2025-06-16,1
UD9077,W2003,2025-06-17,1,11,522,24.4,1,false,2025-06-16,2
UD9078,W2003,2025-06-18,1,12,542,24.9,3,false,2025-06-16,3
UD9079,W2003,2025-06-19,1,10,513,23.9,2,false,2025-06-16,4
UD9080,W2003,2025-06-20,1,10,629,24.9,2,false,2025-06-16,5
UD9081,W2003,2025-06-21,1,6,325,24.3,1,true,2025-06-16,6
UD9082,W2003,2025-06-22,1,6,330,25.6,2,true,2025-06-16,0
UD9083,W2003,2025-06-23,1,10,555,26.2,2,false,2025-06-23,1
UD9084,W2003,2025-06-24,1,12,782,25.8,3,false,2025-06-23,2
UD9085,W2003,2025-06-25,1,11,479,26.2,1,false,2025-06-23,3
UD9086,W2003,2025-06-26,1,10,570,24.4,1,false,2025-06-23,4
UD9087,W2003,2025-06-27,1,9,476,25.2,2,false,2025-06-23,5
UD9088,W2003,2025-06-28,1,6,445,24.3,1,true,2025-06-23,6
UD9089,W2003,2025-06-29,1,6,307,25.5,1,true,2025-06-23,0
UD9090,W2003,2025-06-30,1,9,597,26.2,2,false,2025-06-30,1
UD9091,W2004,2025-06-01,2,8,472,30.3,2,true,2025-05-26,0
UD9092,W2004,2025-06-02,5,18,1296,31.0,5,false,2025-06-02,1
UD9093,W2004,2025-06-03,4,25,1739,30.8,7,false,2025-06-02,2
UD9094,W2004,2025-06-04,5,28,1806,31.2,3,false,2025-06-02,3
UD9095,W2004,2025-06-05,3,15,1050,30.7,2,false,2025-06-02,4
UD9096,W2004,2025-06-06,3,17,1021,32.4,2,false,2025-06-02,5
UD9097,W2004,2025-06-07,4,11,790,32.3,2,true,2025-06-02,6
UD9098,W2004,2025-06-08,3,9,571,32.3,2,true,2025-06-02,0
UD9099,W2004,2025-06-09,5,21,1421,32.0,3,false,2025-06-09,1
UD9100,W2004,2025-06-10,4,20,1020,31.7,5,false,2025-06-09,2
UD9101,W2004,2025-06-11,5,22,1169,31.6,4,false,2025-06-09,3
UD9102,W2004,2025-06-12,5,22,1512,32.8,5,false,2025-06-09,4
UD9103,W2004,2025-06-13,4,16,786,32.6,4,false,2025-06-09,5
UD9104,W2004,2025-06-14,1,6,403,32.0,1,true,2025-06-09,6
UD9105,W2004,2025-06-15,2,7,506,33.0,1,true,2025-06-09,0
UD9106,W2004,2025-06-16,4,21,1143,31.9,5,false,2025-06-16,1
UD9107,W2004,2025-06-17,4,19,831,34.4,5,false,2025-06-16,2
UD9108,W2004,2025-06-18,3,15,716,33.0,3,false,2025-06-16,3
UD9109,W2004,2025-06-19,4,23,1453,32.9,6,false,2025-06-16,4
UD9110,W2004,2025-06-20,4,21,1434,32.9,5,false,2025-06-16,5
UD9111,W2004,2025-06-21,2,7,475,35.2,2,true,2025-06-16,6
UD9112,W2004,2025-06-22,4,12,771,33.5,2,true,2025-06-16,0
UD9113,W2004,2025-06-23,5,18,915,33.6,4,false,2025-06-23,1
UD9114,W2004,2025-06-24,4,20,1353,32.6,4,false,2025-06-23,2
UD9115,W2004,2025-06-25,3,16,957,35.2,3,false,2025-06-23,3
UD9116,W2004,2025-06-26,4,20,1361,33.7,5,false,2025-06-23,4
UD9117,W2004,2025-06-27,4,17,1044,33.7,2,false,2025-06-23,5
UD9118,W2004,2025-06-28,4,11,874,35.8,3,true,2025-06-23,6
UD9119,W2004,2025-06-29,2,8,611,36.3,2,true,2025-06-23,0
UD9120,W2004,2025-06-30,5,21,937,33.8,3,false,2025-06-30,1
UD9121,W2005,2025-06-01,1,6,174,12.2,1,true,2025-05-26,0
UD9122,W2005,2025-06-02,0,7,256,11.2,1,false,2025-06-02,1
UD9123,W2005,2025-06-03,0,8,323,11.5,2,false,2025-06-02,2
UD9124,W2005,2025-06-04,2,16,603,12.4,2,false,2025-06-02,3
UD9125,W2005,2025-06-05,0,7,217,11.8,1,false,2025-06-02,4
UD9126,W2005,2025-06-06,1,9,252,12.0,2,false,2025-06-02,5
UD9127,W2005,2025-06-07,0,4,132,11.7,1,true,2025-06-02,6
UD9128,W2005,2025-06-08,2,7,249,12.9,2,true,2025-06-02,0
UD9129,W2005,2025-06-09,0,7,241,12.5,2,false,2025-06-09,1
UD9130,W2005,2025-06-10,2,15,471,13.0,4,false,2025-06-09,2
UD9131,W2005,2025-06-11,1,11,478,12.7,2,false,2025-06-09,3
UD9132,W2005,2025-06-12,1,10,432,12.4,3,false,2025-06-09,4
UD9133,W2005,2025-06-13,0,7,211,14.0,2,false,2025-06-09,5
UD9134,W2005,2025-06-14,0,4,98,13.0,1,true,2025-06-09,6
UD9135,W2005,2025-06-15,1,5,222,14.3,1,true,2025-06-09,0
UD9136,W2005,2025-06-16,1,9,282,12.4,2,false,2025-06-16,1
UD9137,W2005,2025-06-17,2,14,404,12.5,2,false,2025-06-16,2
UD9138,W2005,2025-06-18,1,11,362,13.4,2,false,2025-06-16,3
UD9139,W2005,2025-06-19,0,7,315,13.9,1,false,2025-06-16,4
UD9140,W2005,2025-06-20,1,10,290,13.6,2,false,2025-06-16,5
UD9141,W2005,2025-06-21,2,7,271,13.3,1,true,2025-06-16,6
UD9142,W2005,2025-06-22,0,4,173,13.4,1,true,2025-06-16,0
UD9143,W2005,2025-06-23,0,7,192,14.0,1,false,2025-06-23,1
UD9144,W2005,2025-06-24,2,15,580,14.6,3,false,2025-06-23,2
UD9145,W2005,2025-06-25,1,11,394,14.2,2,false,2025-06-23,3
UD9146,W2005,2025-06-26,2,12,381,14.7,3,false,2025-06-23,4
UD9147,W2005,2025-06-27,1,11,309,16.0,3,false,2025-06-23,5
UD9148,W2005,2025-06-28,0,4,165,15.6,1,true,2025-06-23,6
UD9149,W2005,2025-06-29,2,7,241,16.9,2,true,2025-06-23,0
UD9150,W2005,2025-06-30,1,10,427,15.4,2,false,2025-06-30,1
UD9151,W2006,2025-06-01,1,5,341,29.3,1,true,2025-05-26,0
UD9152,W2006,2025-06-02,3,14,943,29.5,3,false,2025-06-02,1
UD9153,W2006,2025-06-03,2,13,717,29.9,3,false,2025-06-02,2
UD9154,W2006,2025-06-04,2,14,674,29.1,2,false,2025-06-02,3
UD9155,W2006,2025-06-05,3,15,809,30.4,2,false,2025-06-02,4
UD9156,W2006,2025-06-06,1,10,452,29.5,2,false,2025-06-02,5
UD9157,W2006,2025-06-07,2,8,379,30.7,2,true,2025-06-02,6
UD9158,W2006,2025-06-08,1,5,276,29.4,1,true,2025-06-02,0
UD9159,W2006,2025-06-09,2,12,739,30.1,2,false,2025-06-09,1
UD9160,W2006,2025-06-10,2,13,890,31.0,3,false,2025-06-09,2
UD9161,W2006,2025-06-11,4,18,1190,31.1,4,false,2025-06-09,3
UD9162,W2006,2025-06-12,1,11,742,30.5,2,false,2025-06-09,4
UD9163,W2006,2025-06-13,1,10,712,30.7,2,false,2025-06-09,5
UD9164,W2006,2025-06-14,1,5,329,30.0,1,true,2025-06-09,6
UD9165,W2006,2025-06-15,1,5,243,31.1,1,true,2025-06-09,0
UD9166,W2006,2025-06-16,2,12,559,31.6,2,false,2025-06-16,1
UD9167,W2006,2025-06-17,2,13,936,31.2,3,false,2025-06-16,2
UD9168,W2006,2025-06-18,2,15,698,31.4,3,false,2025-06-16,3
UD9169,W2006,2025-06-19,1,10,583,32.8,1,false,2025-06-16,4
UD9170,W2006,2025-06-20,4,17,829,30.8,4,false,2025-06-16,5
UD9171,W2006,2025-06-21,1,5,306,33.2,1,true,2025-06-16,6
UD9172,W2006,2025-06-22,3,10,776,32.9,3,true,2025-06-16,0
UD9173,W2006,2025-06-23,3,16,1186,32.4,4,false,2025-06-23,1
UD9174,W2006,2025-06-24,2,14,682,33.6,2,false,2025-06-23,2
UD9175,W2006,2025-06-25,2,14,830,34.5,2,false,2025-06-23,3
UD9176,W2006,2025-06-26,3,19,942,34.1,3,false,2025-06-23,4
UD9177,W2006,2025-06-27,3,18,1104,33.3,4,false,2025-06-23,5
UD9178,W2006,2025-06-28,2,7,343,34.5,2,true,2025-06-23,6
UD9179,W2006,2025-06-29,3,8,520,32.8,1,true,2025-06-23,0
UD9180,W2006,2025-06-30,2,12,577,33.7,2,false,2025-06-30,1
UD9181,W2007,2025-06-01,3,12,733,58.8,3,true,2025-05-26,0
UD9182,W2007,2025-06-02,6,32,1704,59.2,8,false,2025-06-02,1
UD9183,W2007,2025-06-03,4,28,1887,60.0,7,false,2025-06-02,2
UD9184,W2007,2025-06-04,6,28,1362,60.1,4,false,2025-06-02,3
UD9185,W2007,2025-06-05,6,31,2149,60.4,7,false,2025-06-02,4
UD9186,W2007,2025-06-06,4,24,1779,59.4,4,false,2025-06-02,5
UD9187,W2007,2025-06-07,3,10,753,60.7,2,true,2025-06-02,6
UD9188,W2007,2025-06-08,2,10,627,60.4,2,true,2025-06-02,0
UD9189,W2007,2025-06-09,7,28,1394,60.8,7,false,2025-06-09,1
UD9190,W2007,2025-06-10,5,29,1712,60.0,4,false,2025-06-09,2
UD9191,W2007,2025-06-11,6,37,2018,60.4,9,false,2025-06-09,3
UD9192,W2007,2025-06-12,5,25,1384,60.3,6,false,2025-06-09,4
UD9193,W2007,2025-06-13,5,31,1682,60.2,5,false,2025-06-09,5
UD9194,W2007,2025-06-14,4,14,882,60.5,3,true,2025-06-09,6
UD9195,W2007,2025-06-15,3,11,712,61.1,3,true,2025-06-09,0
UD9196,W2007,2025-06-16,6,32,2370,62.2,4,false,2025-06-16,1
UD9197,W2007,2025-06-17,4,29,2093,62.0,6,false,2025-06-16,2
UD9198,W2007,2025-06-18,7,42,2795,61.6,12,false,2025-06-16,3
UD9199,W2007,2025-06-19,6,31,1810,62.4,5,false,2025-06-16,4
UD9200,W2007,2025-06-20,6,26,1689,61.5,6,false,2025-06-16,5
UD9201,W2007,2025-06-21,2,9,592,62.8,2,true,2025-06-16,6
UD9202,W2007,2025-06-22,4,12,668,61.6,3,true,2025-06-16,0
UD9203,W2007,2025-06-23,4,25,1748,61.8,7,false,2025-06-23,1
UD9204,W2007,2025-06-24,5,29,1266,62.9,6,false,2025-06-23,2
UD9205,W2007,2025-06-25,4,30,1613,62.6,4,false,2025-06-23,3
UD9206,W2007,2025-06-26,6,33,1804,62.6,5,false,2025-06-23,4
UD9207,W2007,2025-06-27,7,35,2274,62.7,9,false,2025-06-23,5
UD9208,W2007,2025-06-28,4,13,1000,63.8,2,true,2025-06-23,6
UD9209,W2007,2025-06-29,3,10,531,64.0,3,true,2025-06-23,0
UD9210,W2007,2025-06-30,5,28,1312,64.1,6,false,2025-06-30,1
UD9211,W2009,2025-06-01,1,8,592,40.4,1,true,2025-05-26,0
UD9212,W2009,2025-06-02,5,29,1412,41.0,8,false,2025-06-02,1
UD9213,W2009,2025-06-03,2,20,1346,40.6,5,false,2025-06-02,2
UD9214,W2009,2025-06-04,3,23,1618,40.4,6,false,2025-06-02,3
UD9215,W2009,2025-06-05,3,19,1223,40.8,4,false,2025-06-02,4
UD9216,W2009,2025-06-06,5,23,1304,40.6,3,false,2025-06-02,5
UD9217,W2009,2025-06-07,3,12,725,42.5,2,true,2025-06-02,6
UD9218,W2009,2025-06-08,3,12,836,41.9,1,true,2025-06-02,0
UD9219,W2009,2025-06-09,5,24,1055,42.3,4,false,2025-06-09,1
UD9220,W2009,2025-06-10,3,23,1587,41.4,5,false,2025-06-09,2
UD9221,W2009,2025-06-11,3,24,1384,42.8,5,false,2025-06-09,3
UD9222,W2009,2025-06-12,5,31,2241,43.0,6,false,2025-06-09,4
UD9223,W2009,2025-06-13,4,22,1578,41.9,5,false,2025-06-09,5
UD9224,W2009,2025-06-14,3,12,756,41.7,2,true,2025-06-09,6
UD9225,W2009,2025-06-15,2,9,398,42.7,1,true,2025-06-09,0
UD9226,W2009,2025-06-16,4,21,1046,42.6,3,false,2025-06-16,1
UD9227,W2009,2025-06-17,3,22,969,41.9,5,false,2025-06-16,2
UD9228,W2009,2025-06-18,4,23,1380,43.4,4,false,2025-06-16,3
UD9229,W2009,2025-06-19,2,19,925,44.1,5,false,2025-06-16,4
UD9230,W2009,2025-06-20,4,24,1088,43.9,6,false,2025-06-16,5
UD9231,W2009,2025-06-21,3,12,874,43.0,2,true,2025-06-16,6
UD9232,W2009,2025-06-22,2,10,699,44.2,2,true,2025-06-16,0
UD9233,W2009,2025-06-23,2,19,909,45.4,3,false,2025-06-23,1
UD9234,W2009,2025-06-24,3,20,1120,44.0,3,false,2025-06-23,2
UD9235,W2009,2025-06-25,4,26,1744,44.0,4,false,2025-06-23,3
UD9236,W2009,2025-06-26,3,20,1331,42.5,5,false,2025-06-23,4
UD9237,W2009,2025-06-27,2,17,950,43.2,3,false,2025-06-23,5
UD9238,W2009,2025-06-28,3,11,814,42.7,2,true,2025-06-23,6
UD9239,W2009,2025-06-29,2,10,447,45.2,2,true,2025-06-23,0
UD9240,W2009,2025-06-30,4,20,1101,45.3,5,false,2025-06-30,1
UD9241,W2012,2025-06-01,1,7,521,38.7,1,true,2025-05-26,0
UD9242,W2012,2025-06-02,4,25,1565,39.1,5,false,2025-06-02,1
UD9243,W2012,2025-06-03,3,24,1225,39.0,5,false,2025-06-02,2
UD9244,W2012,2025-06-04,4,28,2073,39.5,5,false,2025-06-02,3
UD9245,W2012,2025-06-05,4,24,1316,39.0,4,false,2025-06-02,4
UD9246,W2012,2025-06-06,2,16,924,39.3,4,false,2025-06-02,5
UD9247,W2012,2025-06-07,1,8,380,39.5,2,true,2025-06-02,6
UD9248,W2012,2025-06-08,1,8,586,39.5,2,true,2025-06-02,0
UD9249,W2012,2025-06-09,3,21,1561,39.5,3,false,2025-06-09,1
UD9250,W2012,2025-06-10,4,30,1273,40.1,5,false,2025-06-09,2
UD9251,W2012,2025-06-11,5,32,1891,39.8,7,false,2025-06-09,3
UD9252,W2012,2025-06-12,3,20,1463,40.1,5,false,2025-06-09,4
UD9253,W2012,2025-06-13,4,27,1865,41.4,7,false,2025-06-09,5
UD9254,W2012,2025-06-14,1,8,514,40.3,2,true,2025-06-09,6
UD9255,W2012,2025-06-15,3,10,646,40.5,2,true,2025-06-09,0
UD9256,W2012,2025-06-16,3,22,1191,40.3,3,false,2025-06-16,1
UD9257,W2012,2025-06-17,4,23,1339,40.9,5,false,2025-06-16,2
UD9258,W2012,2025-06-18,2,18,1051,41.7,4,false,2025-06-16,3
UD9259,W2012,2025-06-19,3,20,1012,40.8,5,false,2025-06-16,4
UD9260,W2012,2025-06-20,3,20,1249,39.6,5,false,2025-06-16,5
UD9261,W2012,2025-06-21,2,9,392,42.1,2,true,2025-06-16,6
UD9262,W2012,2025-06-22,3,10,469,42.7,2,true,2025-06-16,0
UD9263,W2012,2025-06-23,2,18,1221,41.8,5,false,2025-06-23,1
UD9264,W2012,2025-06-24,2,18,1051,41.8,3,false,2025-06-23,2
UD9265,W2012,2025-06-25,4,29,1512,42.1,7,false,2025-06-23,3
UD9266,W2012,2025-06-26,3,23,1672,42.6,3,false,2025-06-23,4
UD9267,W2012,2025-06-27,3,21,1062,43.3,5,false,2025-06-23,5
UD9268,W2012,2025-06-28,2,9,671,43.9,2,true,2025-06-23,6
UD9269,W2012,2025-06-29,2,9,431,41.2,2,true,2025-06-23,0
UD9270,W2012,2025-06-30,3,21,1203,41.6,3,false,2025-06-30,1
UD9271,W2013,2025-06-01,2,10,516,55.3,2,true,2025-05-26,0
UD9272,W2013,2025-06-02,2,16,767,55.9,4,false,2025-06-02,1
UD9273,W2013,2025-06-03,3,24,1126,56.1,3,false,2025-06-02,2
UD9274,W2013,2025-06-04,4,23,982,56.3,3,false,2025-06-02,3
UD9275,W2013,2025-06-05,2,19,776,55.9,3,false,2025-06-02,4
UD9276,W2013,2025-06-06,3,21,966,56.0,4,false,2025-06-02,5
UD9277,W2013,2025-06-07,1,8,350,55.9,1,true,2025-06-02,6
UD9278,W2013,2025-06-08,1,8,558,55.6,1,true,2025-06-02,0
UD9279,W2013,2025-06-09,3,23,1023,56.8,4,false,2025-06-09,1
UD9280,W2013,2025-06-10,3,21,945,55.9,3,false,2025-06-09,2
UD9281,W2013,2025-06-11,3,24,1518,55.8,3,false,2025-06-09,3
UD9282,W2013,2025-06-12,2,17,974,57.2,3,false,2025-06-09,4
UD9283,W2013,2025-06-13,4,22,1611,56.9,4,false,2025-06-09,5
UD9284,W2013,2025-06-14,3,12,800,57.3,3,true,2025-06-09,6
UD9285,W2013,2025-06-15,1,8,394,56.6,2,true,2025-06-09,0
UD9286,W2013,2025-06-16,5,26,1401,57.4,6,false,2025-06-16,1
UD9287,W2013,2025-06-17,3,24,1421,57.6,6,false,2025-06-16,2
UD9288,W2013,2025-06-18,2,19,814,58.3,5,false,2025-06-16,3
UD9289,W2013,2025-06-19,3,23,1604,57.0,4,false,2025-06-16,4
UD9290,W2013,2025-06-20,2,18,839,57.1,4,false,2025-06-16,5
UD9291,W2013,2025-06-21,1,8,561,58.1,2,true,2025-06-16,6
UD9292,W2013,2025-06-22,2,9,469,58.6,2,true,2025-06-16,0
UD9293,W2013,2025-06-23,4,21,1577,57.4,6,false,2025-06-23,1
UD9294,W2013,2025-06-24,4,30,1795,58.8,5,false,2025-06-23,2
UD9295,W2013,2025-06-25,4,27,1825,60.2,4,false,2025-06-23,3
UD9296,W2013,2025-06-26,5,31,2120,60.3,5,false,2025-06-23,4
UD9297,W2013,2025-06-27,4,23,1519,59.2,6,false,2025-06-23,5
UD9298,W2013,2025-06-28,3,11,709,60.3,2,true,2025-06-23,6
UD9299,W2013,2025-06-29,1,7,372,59.6,2,true,2025-06-23,0
UD9300,W2013,2025-06-30,4,20,1290,58.4,3,false,2025-06-30,1
UD9301,W2014,2025-06-01,2,9,551,48.6,2,true,2025-05-26,0
UD9302,W2014,2025-06-02,3,20,887,49.4,5,false,2025-06-02,1
UD9303,W2014,2025-06-03,3,23,1325,49.7,5,false,2025-06-02,2
UD9304,W2014,2025-06-04,3,23,1593,49.0,5,false,2025-06-02,3
UD9305,W2014,2025-06-05,2,20,839,49.4,4,false,2025-06-02,4
UD9306,W2014,2025-06-06,2,16,990,48.9,3,false,2025-06-02,5
UD9307,W2014,2025-06-07,1,8,425,50.0,2,true,2025-06-02,6
UD9308,W2014,2025-06-08,2,10,439,49.3,2,true,2025-06-02,0
UD9309,W2014,2025-06-09,4,22,1207,50.4,4,false,2025-06-09,1
UD9310,W2014,2025-06-10,3,21,1119,50.3,5,false,2025-06-09,2
UD9311,W2014,2025-06-11,3,21,1244,50.2,4,false,2025-06-09,3
UD9312,W2014,2025-06-12,4,27,1301,51.7,7,false,2025-06-09,4
UD9313,W2014,2025-06-13,2,16,702,50.7,3,false,2025-06-09,5
UD9314,W2014,2025-06-14,1,8,458,51.2,1,true,2025-06-09,6
UD9315,W2014,2025-06-15,2,9,565,51.2,2,true,2025-06-09,0
UD9316,W2014,2025-06-16,4,23,1143,52.0,5,false,2025-06-16,1
UD9317,W2014,2025-06-17,2,19,1372,50.9,3,false,2025-06-16,2
UD9318,W2014,2025-06-18,4,25,1554,52.2,4,false,2025-06-16,3
UD9319,W2014,2025-06-19,2,16,822,52.2,4,false,2025-06-16,4
UD9320,W2014,2025-06-20,4,21,1473,52.7,3,false,2025-06-16,5
UD9321,W2014,2025-06-21,1,8,418,51.5,1,true,2025-06-16,6
UD9322,W2014,2025-06-22,1,8,353,50.9,2,true,2025-06-16,0
UD9323,W2014,2025-06-23,2,16,752,52.0,3,false,2025-06-23,1
UD9324,W2014,2025-06-24,3,25,1109,52.9,4,false,2025-06-23,2
UD9325,W2014,2025-06-25,1,16,1141,51.8,4,false,2025-06-23,3
UD9326,W2014,2025-06-26,2,19,830,52.9,3,false,2025-06-23,4
UD9327,W2014,2025-06-27,3,23,1480,52.8,5,false,2025-06-23,5
UD9328,W2014,2025-06-28,3,12,531,51.9,2,true,2025-06-23,6
UD9329,W2014,2025-06-29,2,10,562,54.8,2,true,2025-06-23,0
UD9330,W2014,2025-06-30,4,25,1394,55.1,5,false,2025-06-30,1
UD9331,W2015,2025-06-01,2,7,378,26.2,2,true,2025-05-26,0
UD9332,W2015,2025-06-02,3,18,1290,26.9,4,false,2025-06-02,1
UD9333,W2015,2025-06-03,2,14,983,27.4,2,false,2025-06-02,2
UD9334,W2015,2025-06-04,3,17,1065,26.4,4,false,2025-06-02,3
UD9335,W2015,2025-06-05,4,17,1266,26.4,2,false,2025-06-02,4
UD9336,W2015,2025-06-06,2,13,796,27.0,2,false,2025-06-02,5
UD9337,W2015,2025-06-07,2,8,614,27.0,1,true,2025-06-02,6
UD9338,W2015,2025-06-08,1,5,294,27.8,1,true,2025-06-02,0
UD9339,W2015,2025-06-09,3,17,880,27.6,4,false,2025-06-09,1
UD9340,W2015,2025-06-10,2,15,976,28.1,3,false,2025-06-09,2
UD9341,W2015,2025-06-11,4,21,1519,28.7,4,false,2025-06-09,3
UD9342,W2015,2025-06-12,2,14,643,29.3,3,false,2025-06-09,4
UD9343,W2015,2025-06-13,4,18,1345,27.3,5,false,2025-06-09,5
UD9344,W2015,2025-06-14,2,8,380,28.3,1,true,2025-06-09,6
UD9345,W2015,2025-06-15,2,8,522,29.0,1,true,2025-06-09,0
UD9346,W2015,2025-06-16,3,18,1068,28.6,3,false,2025-06-16,1
UD9347,W2015,2025-06-17,3,17,1019,29.3,4,false,2025-06-16,2
UD9348,W2015,2025-06-18,3,16,777,28.7,3,false,2025-06-16,3
UD9349,W2015,2025-06-19,4,20,1033,27.9,4,false,2025-06-16,4
UD9350,W2015,2025-06-20,1,9,395,30.5,2,false,2025-06-16,5
UD9351,W2015,2025-06-21,1,6,301,27.9,2,true,2025-06-16,6
UD9352,W2015,2025-06-22,2,8,522,28.7,1,true,2025-06-16,0
