account_id,total_user_count,active_user_count,inactive_user_count,provisioned_user_count,latest_user_login_at,workspace_count,active_workspace_count,sandbox_workspace_count,latest_usage_date,avg_active_users_7d,avg_active_users_30d,total_projects_run_30d,total_api_calls_30d,total_alerts_30d,peak_storage_gb_30d
A1024,4,4,0,0,2025-06-29 13:25:39,2,2,0,2025-06-30,0.0,3.2333333333333334,490,28759,107,20.5
A1035,13,11,1,1,2025-06-30 02:41:50,3,3,1,2025-06-30,0.0,6.466666666666667,1115,59544,214,42.0
A1058,7,5,2,0,2025-06-28 00:47:16,2,2,0,2025-06-30,0.0,4.4,594,36026,120,25.5
A1009,13,11,2,0,2025-06-28 01:08:23,2,2,0,2025-06-30,0.0,7.333333333333333,1001,61468,197,27.7
A1021,7,7,0,0,2025-06-30 06:08:41,1,1,0,2025-06-30,0.0,4.166666666666667,469,27805,99,25.9
A1072,18,15,3,0,2025-06-30 16:13:30,3,3,1,2025-06-30,0.0,9.5,1733,94474,356,70.8
A1077,12,7,4,1,2025-06-30 02:20:09,3,3,0,2025-06-30,0.0,5.233333333333333,1003,58101,197,36.6
A1007,4,3,1,0,2025-06-22 19:10:21,1,1,0,2025-06-30,0.0,1.6,242,14726,52,25.9
A1012,7,6,1,0,2025-06-26 01:35:27,2,2,1,2025-06-30,0.0,3.8333333333333335,530,29420,106,26.5
A1013,7,5,2,0,2025-06-14 20:09:49,3,3,0,2025-06-30,0.0,4.433333333333334,930,51065,186,28.6
A1031,10,10,0,0,2025-06-30 19:29:32,3,3,0,2025-06-30,0.0,6.566666666666666,1115,63242,222,41.6
A1056,11,10,1,0,2025-06-30 01:08:24,3,3,0,2025-06-30,0.0,6.6,1111,67843,218,45.1
A1057,13,12,1,0,2025-06-29 10:35:02,4,4,1,2025-06-30,0.0,7.533333333333333,1853,101155,364,57.9
A1076,13,13,0,0,2025-06-29 17:56:01,2,2,0,2025-06-30,0.0,9.333333333333334,1181,72164,229,43.5
A1019,4,3,1,0,2025-06-22 15:49:06,2,2,1,2025-06-30,0.0,1.4666666666666666,340,16856,71,19.2
A1020,4,3,1,0,2025-06-27 14:08:11,1,1,0,2025-06-30,0.0,1.7,255,14423,51,23.0
A1050,4,4,0,0,2025-06-26 07:41:42,2,2,1,2025-06-30,0.0,2.066666666666667,387,19633,76,21.0
A1060,13,11,2,0,2025-06-29 05:48:32,2,2,1,2025-06-30,0.0,6.2,891,49873,183,31.1
A1070,8,6,2,0,2025-06-29 05:01:23,1,1,0,2025-06-30,0.0,3.7333333333333334,424,24980,82,17.3
A1075,8,8,0,0,2025-06-29 05:05:14,1,1,0,2025-06-30,0.0,4.9,520,31589,99,28.4
A1006,7,5,2,0,2025-06-29 22:10:05,2,2,0,2025-06-30,0.0,3.9,700,41229,139,32.3
A1025,6,5,1,0,2025-06-29 18:17:48,1,1,0,2025-06-30,0.0,3.1,370,23365,73,27.0
A1038,5,4,1,0,2025-06-29 13:39:49,2,2,0,2025-06-30,0.0,2.8,446,27242,91,26.1
A1047,19,19,0,0,2025-06-30 18:24:04,3,3,1,2025-06-30,0.0,12.3,1975,108624,400,70.2
A1074,12,11,1,0,2025-06-28 18:38:35,3,3,0,2025-06-30,0.0,8.266666666666667,1288,77923,253,35.1
A1017,9,8,1,0,2025-06-28 14:57:16,2,2,0,2025-06-30,0.0,4.566666666666666,767,44175,156,35.2
A1023,8,8,0,0,2025-06-25 18:12:18,1,1,0,2025-06-30,0.0,5.0,532,31779,101,17.9
A1073,13,10,3,0,2025-06-30 17:00:47,2,2,0,2025-06-30,0.0,8.133333333333333,1075,63469,216,22.9
A1080,10,10,0,0,2025-06-30 12:39:20,2,2,0,2025-06-30,0.0,7.133333333333334,959,58564,195,45.2
A1086,5,4,1,0,2025-06-29 10:44:14,1,1,0,2025-06-30,0.0,2.5,314,18915,62,28.2
A1044,5,5,0,0,2025-06-22 09:33:16,1,1,0,2025-06-30,0.0,3.3333333333333335,391,24890,79,16.7
A1063,4,3,1,0,2025-06-26 00:16:39,1,1,0,2025-06-30,0.0,1.8666666666666667,266,15675,50,23.7
A1028,11,10,1,0,2025-06-26 13:19:03,2,2,1,2025-06-30,0.0,4.866666666666666,792,40215,161,34.1
A1054,12,8,4,0,2025-06-27 20:59:29,3,3,0,2025-06-30,0.0,7.666666666666667,1221,71204,241,45.6
A1066,12,10,2,0,2025-06-28 05:12:16,2,2,0,2025-06-30,0.0,7.033333333333333,983,58910,205,41.8
A1067,7,6,1,0,2025-06-27 23:00:19,2,2,1,2025-06-30,0.0,2.933333333333333,641,32283,131,32.9
A1071,13,12,0,1,2025-06-26 02:32:51,3,3,1,2025-06-30,0.0,7.0,1161,64088,243,38.1
A1079,20,14,6,0,2025-06-29 01:58:46,4,4,0,2025-06-30,0.0,10.866666666666667,2169,127089,425,68.5
A1001,9,7,2,0,2025-06-30 13:24:04,3,3,0,2025-06-30,0.0,4.566666666666666,947,54717,190,32.6
A1059,11,10,1,0,2025-06-28 13:19:15,2,2,1,2025-06-30,0.0,4.466666666666667,749,39880,150,42.7
A1030,12,11,1,0,2025-06-30 07:11:45,4,4,0,2025-06-30,0.0,7.466666666666667,1853,112662,346,48.3
A1039,7,7,0,0,2025-06-25 23:16:56,1,1,0,2025-06-30,0.0,4.233333333333333,457,27512,92,23.0
A1043,18,16,2,0,2025-06-30 00:41:33,4,4,1,2025-06-30,0.0,10.3,2105,114513,424,54.4
A1048,17,14,3,0,2025-06-29 03:00:17,3,3,0,2025-06-30,0.0,11.433333333333334,1910,112002,384,57.2
A1090,4,4,0,0,2025-06-20 06:20:38,1,1,0,2025-06-30,0.0,2.3,294,16801,61,23.7
A1045,14,14,0,0,2025-06-25 20:09:54,4,4,0,2025-06-30,0.0,10.6,2148,126398,445,70.5
A1016,19,19,0,0,2025-06-30 17:29:30,4,4,0,2025-06-30,0.0,12.733333333333333,2320,136008,460,66.4
A1053,10,9,1,0,2025-06-28 20:52:31,3,3,0,2025-06-30,0.0,6.133333333333334,1076,62016,215,44.5
A1081,9,7,1,1,2025-06-30 19:59:33,3,3,1,2025-06-30,0.0,5.233333333333333,1010,54352,200,29.7
A1008,11,11,0,0,2025-06-28 21:07:37,3,3,0,2025-06-30,0.0,8.066666666666666,1255,75716,253,25.8
A1055,13,12,1,0,2025-06-25 09:53:30,2,2,1,2025-06-30,0.0,4.933333333333334,797,38707,154,33.5
A1069,13,11,2,0,2025-06-30 18:40:58,3,3,0,2025-06-30,0.0,8.666666666666666,1634,96476,331,69.2
A1078,12,10,2,0,2025-06-21 18:55:44,3,3,0,2025-06-30,0.0,6.433333333333334,1081,63211,223,36.9
A1084,11,9,2,0,2025-06-29 09:44:14,2,2,0,2025-06-30,0.0,6.733333333333333,970,59696,201,45.6
A1085,4,4,0,0,2025-06-26 06:07:28,1,1,0,2025-06-30,0.0,2.566666666666667,335,20055,74,22.4
A1089,12,10,1,1,2025-06-29 08:51:48,2,2,0,2025-06-30,0.0,7.566666666666666,1041,63704,214,36.8
A1003,16,15,1,0,2025-06-27 22:24:00,3,2,1,2025-06-30,0.0,7.9,1299,77795,266,64.1
A1027,5,5,0,0,2025-06-29 00:02:28,2,2,0,2025-06-30,0.0,3.6,520,32095,111,22.8
A1034,7,7,0,0,2025-06-30 15:28:58,2,2,1,2025-06-30,0.0,3.5,507,26564,105,20.8
A1040,12,10,2,0,2025-06-29 20:50:37,3,3,1,2025-06-30,0.0,5.766666666666667,1066,56746,219,40.9
A1041,12,10,2,0,2025-06-30 04:56:55,3,3,1,2025-06-30,0.0,6.766666666666667,1147,61506,227,35.5
A1049,20,18,2,0,2025-06-30 08:00:29,3,3,0,2025-06-30,0.0,13.066666666666666,2058,127637,426,71.0
A1065,11,9,2,0,2025-06-28 18:14:53,2,2,0,2025-06-30,0.0,6.566666666666666,937,57316,191,25.6
A1088,6,5,1,0,2025-06-29 11:34:19,1,1,0,2025-06-30,0.0,3.2,388,23706,78,21.1
A1004,14,6,8,0,2025-06-20 09:07:01,2,0,1,,0.0,0.0,0,0,0,0.0
A1029,17,3,13,1,2025-06-30 06:10:41,1,0,0,,0.0,0.0,0,0,0,0.0
A1015,3,0,3,0,2025-05-24 02:05:19,2,0,1,,0.0,0.0,0,0,0,0.0
A1018,3,2,1,0,2025-06-25 22:31:07,2,0,0,,0.0,0.0,0,0,0,0.0
A1036,3,0,3,0,2025-05-09 07:20:37,2,0,1,,0.0,0.0,0,0,0,0.0
A1014,18,4,14,0,2025-06-26 05:54:34,1,0,0,,0.0,0.0,0,0,0,0.0
A1032,6,4,2,0,2025-06-30 06:55:25,2,0,0,,0.0,0.0,0,0,0,0.0
A1082,7,2,5,0,2025-06-28 07:54:46,1,0,0,,0.0,0.0,0,0,0,0.0
A1087,9,4,4,1,2025-06-27 14:03:13,1,0,0,,0.0,0.0,0,0,0,0.0
