id,message_id,user_id,reply_count,reply_users_count,message_datetime,extracted_datetime,reply_users,channel_name
UK4V3ON2O,4498e839-21e9-4ff0-ab5f-e4abbf443b37,UN979RN92,10,5,2024-06-01T19:40:35Z,2024-06-01T20:35:20Z,"[""UEA8H90WN"",""ULAN263E4"",""U24SJD0U3"",""UZ90K3JDW"",""U8S28EIM6""]",engineering
U96N45CL2,4ce8dd5d-6fb2-48c7-97bc-6e31427d5d3e,UV4M04Y17,7,2,2024-07-22T14:24:08Z,2024-07-22T15:16:10Z,"[""ULWL32B29"",""UB81I8027""]",engineering
U3U77Y17K,28fe4cce-494e-4fb2-b240-5e95c32431b7,U24SJD0U3,42,26,2025-06-16T13:16:14Z,2025-06-16T13:25:13Z,"[""UL92954KA"",""UL96240J4"",""UK839UQ5R"",""U4095YWYD"",""U6P582A60"",""U0D6182AR"",""U6P582A60"",""U0KG42Q0P"",""U0381889F"",""U85PB3J63"",""U3O3NUM10"",""UIDQ8QXI5"",""U378U76S4"",""UDC0ZA535"",""UQY0NPYWN"",""UB81I8027"",""UA3IV9419"",""UE83A3954"",""U34AX16M0"",""U2M260029"",""UU95TZPYP"",""U96N45CL2"",""ULWL32B29"",""UH749DC04"",""UWBXBIUB7"",""UK839UQ5R""]",social
U3GY5K9EQ,2129be7e-e292-4d89-a864-f88bc6566e03,UA7M10C0O,42,6,2025-08-24T16:50:23Z,2025-08-24T17:35:26Z,"[""UEA8H90WN"",""U3TE14ET2"",""UH1039P7I"",""U549234TU"",""UL92954KA"",""UNNH8IW78""]",marketing
UL96240J4,014f9e25-e14c-4801-9e7e-fa965ce82ba7,UK839UQ5R,2,2,2025-10-05T09:08:23Z,2025-10-05T09:11:16Z,"[""U0EIW7DOX"",""U3HY0BS3W""]",random
U08ITMEA6,165cc1b2-918a-4d6c-984e-1b444ad951f2,U96N45CL2,35,10,2025-08-29T01:53:41Z,2025-08-29T02:02:58Z,"[""UL2989703"",""UIX8TSI0Y"",""U2QXC4ZNG"",""UCL2RJ89X"",""UY640917T"",""UYJ494VWS"",""UA7M10C0O"",""UKVN1ZI1Z"",""UE0WA7608"",""UEZMYV74R""]",social
UR257U86O,01e55e63-6a59-4eff-986b-1616852738cf,UNNH8IW78,34,22,2025-06-24T11:09:16Z,2025-06-24T11:57:04Z,"[""U3GY5K9EQ"",""UR257U86O"",""U5V38TNV1"",""UORS33I12"",""UKA77QAYY"",""UNY6WDI60"",""U7ZP08017"",""UNC2V4ZD7"",""UU6K92DUR"",""U7PX1XVTE"",""UV4M04Y17"",""UYVM94HE1"",""UWL5JX23M"",""ULAN263E4"",""U3U77Y17K"",""UP9T7VJBF"",""UF39WLXAT"",""UHGL04640"",""UQSF747QR"",""U2XQ3JJAN"",""UFUV7GPHM"",""USI1BH3K3""]",random
UNY6WDI60,d019018a-23c6-4463-951c-6233af8768ee,UWL5JX23M,49,9,2025-09-24T12:14:38Z,2025-09-24T13:11:35Z,"[""UZ90K3JDW"",""UNVWFC5Q1"",""UFF1HYHJ2"",""US3QTX4Z1"",""UPT27H737"",""U9YFOYM78"",""U24SJD0U3"",""UN979RN92"",""U1FM88J9J""]",engineering
U0GBC0N90,04a5ea0f-817d-47d7-9f15-5a5bea08ad6b,UNY6WDI60,20,16,2024-10-04T15:18:15Z,2024-10-04T15:45:32Z,"[""UB9LLF16J"",""U8S28EIM6"",""UV77JEL7Q"",""UO513ARUP"",""U306GEBY8"",""UL9VWQ9S2"",""UB51ZBPGJ"",""UC3Z15JC3"",""U91Q0A72O"",""UG6UG9470"",""U08ITMEA6"",""U81OT695K"",""UZ271WU40"",""UYEP6YY91"",""U168N7Y9G"",""UK4V3ON2O""]",marketing
UB81I8027,3c69b9da-ec83-40db-bdf0-f69f53fe2b1a,U0EIW7DOX,16,14,2024-09-15T00:11:58Z,2024-09-15T01:02:40Z,"[""UZ5125Y28"",""U84A3Q05B"",""ULRS0HVJ3"",""U7W96XW2A"",""UOBK5OFZ0"",""U9E255NN9"",""U4095YWYD"",""UJ65P6F44"",""UL96240J4"",""UK756E555"",""U0GBC0N90"",""UN0J0I7F0"",""UWW10VL06"",""UV4M04Y17""]",random
UQSF747QR,2917673e-1a9d-4f7d-b38c-d282aebd331d,U306GEBY8,8,5,2024-11-12T09:15:15Z,2024-11-12T09:34:02Z,"[""UP9T7VJBF"",""U0D6182AR"",""UNC2V4ZD7"",""UWW10VL06"",""UEZMYV74R""]",engineering
UNVWFC5Q1,bcfe8578-8ec5-4076-9ebe-28528365a262,USI1BH3K3,24,21,2024-11-23T01:38:43Z,2024-11-23T02:25:17Z,"[""U9E255NN9"",""UORS33I12"",""UKA77QAYY"",""UE83A3954"",""UDC0ZA535"",""UKVN1ZI1Z"",""UK839UQ5R"",""UF39WLXAT"",""UJ65P6F44"",""UN979RN92"",""UH749DC04"",""UU95TZPYP"",""UK4V3ON2O"",""U0KG42Q0P"",""US3QTX4Z1"",""U7PX1XVTE"",""U1FM88J9J"",""UL92954KA"",""U2XQ3JJAN"",""U549234TU"",""U7ZP08017""]",social
U24SJD0U3,bfaf931c-2c2e-4d6e-a39a-d05ca2e5e1db,U3O3NUM10,10,1,2025-04-20T06:56:08Z,2025-04-20T07:01:09Z,"[""ULRS0HVJ3""]",random
UKVN1ZI1Z,b4da2093-c04f-4f14-a04b-263557d710d8,UF39WLXAT,31,29,2025-08-24T01:08:42Z,2025-08-24T01:36:49Z,"[""UA7M10C0O"",""UIDQ8QXI5"",""U3U77Y17K"",""UB51ZBPGJ"",""U306GEBY8"",""U378U76S4"",""UY640917T"",""U6P582A60"",""U7W96XW2A"",""UZ5125Y28"",""UYVM94HE1"",""UB81I8027"",""ULWL32B29"",""UR257U86O"",""U2M260029"",""UOBK5OFZ0"",""U4095YWYD"",""UQSF747QR"",""UYJ494VWS"",""UE0WA7608"",""UK756E555"",""UHGL04640"",""UYEP6YY91"",""UIX8TSI0Y"",""UZ90K3JDW"",""U2QXC4ZNG"",""U9YFOYM78"",""UNY6WDI60"",""U8S28EIM6""]",random
U5V38TNV1,4dc66162-5aad-4d7f-9535-dcc2752b3296,UFF1HYHJ2,20,11,2025-11-07T18:40:55Z,2025-11-07T19:35:37Z,"[""U96N45CL2"",""UL96240J4"",""UWL5JX23M"",""U81OT695K"",""UNS22LGIY"",""U3TE14ET2"",""U0EIW7DOX"",""UB9LLF16J"",""U34AX16M0"",""UC3Z15JC3"",""UO513ARUP""]",general
UE0WA7608,11f9259c-7f0d-4615-8d5a-6ad081c66939,UE83A3954,0,0,2025-03-31T22:34:19Z,2025-03-31T22:39:54Z,[],social
U2QXC4ZNG,59987703-7561-4565-b7f7-86a23e276d45,UQY0NPYWN,13,6,2024-10-31T14:34:47Z,2024-10-31T15:07:00Z,"[""UV77JEL7Q"",""U3GY5K9EQ"",""U0GBC0N90"",""U91Q0A72O"",""U84A3Q05B"",""UH1039P7I""]",social
UV4M04Y17,d53106e0-cd77-42fb-a7c7-db856f230ba3,U1FM88J9J,48,8,2025-03-06T11:36:31Z,2025-03-06T12:01:49Z,"[""UA3IV9419"",""ULAN263E4"",""U85PB3J63"",""U08ITMEA6"",""UL2989703"",""UL9VWQ9S2"",""U3HY0BS3W"",""U0381889F""]",random
UIDQ8QXI5,5d67b916-ebc3-4bf3-b770-ec30742e6f95,U0GBC0N90,5,5,2024-09-20T03:32:03Z,2024-09-20T03:36:59Z,"[""UZ271WU40"",""UFUV7GPHM"",""U5V38TNV1"",""UWBXBIUB7"",""UNVWFC5Q1""]",random
UO513ARUP,8a976bf4-5da3-43f0-aba9-bb477afc727a,U4095YWYD,30,22,2025-03-22T02:08:18Z,2025-03-22T02:33:23Z,"[""USI1BH3K3"",""UNNH8IW78"",""UG6UG9470"",""U168N7Y9G"",""UCL2RJ89X"",""UQY0NPYWN"",""UN0J0I7F0"",""UU6K92DUR"",""UFF1HYHJ2"",""U24SJD0U3"",""U3O3NUM10"",""UEA8H90WN"",""UPT27H737"",""U34AX16M0"",""U0381889F"",""UL9VWQ9S2"",""UG6UG9470"",""U2M260029"",""UWBXBIUB7"",""UQY0NPYWN"",""UU6K92DUR"",""U24SJD0U3""]",marketing
U7W96XW2A,238f8b0d-83db-4de8-82e0-8fda585a7ec2,UHGL04640,12,7,2025-04-17T19:32:03Z,2025-04-17T19:58:55Z,"[""UIDQ8QXI5"",""U549234TU"",""UNY6WDI60"",""U2QXC4ZNG"",""U8S28EIM6"",""U7W96XW2A"",""UFUV7GPHM""]",general
UY640917T,024aea24-08d2-4944-a850-ba1e8c12f83b,US3QTX4Z1,49,30,2025-02-26T10:08:36Z,2025-02-26T10:28:15Z,"[""UNS22LGIY"",""UH749DC04"",""U3HY0BS3W"",""U3U77Y17K"",""UZ90K3JDW"",""UYJ494VWS"",""UN0J0I7F0"",""UJ65P6F44"",""UEA8H90WN"",""UV77JEL7Q"",""UQSF747QR"",""UE83A3954"",""UNC2V4ZD7"",""US3QTX4Z1"",""UU95TZPYP"",""U08ITMEA6"",""U0GBC0N90"",""UK4V3ON2O"",""UOBK5OFZ0"",""UKVN1ZI1Z"",""U9E255NN9"",""UP9T7VJBF"",""UEZMYV74R"",""U0EIW7DOX"",""U84A3Q05B"",""UF39WLXAT"",""U85PB3J63"",""UB81I8027"",""UDC0ZA535"",""ULRS0HVJ3""]",general
U0D6182AR,21e0600e-1be7-4625-bb2d-2eb9d11df5eb,U8S28EIM6,36,20,2025-08-06T09:17:05Z,2025-08-06T09:18:33Z,"[""UC3Z15JC3"",""UK756E555"",""U7ZP08017"",""U96N45CL2"",""U5V38TNV1"",""UHGL04640"",""UA3IV9419"",""UFF1HYHJ2"",""U3GY5K9EQ"",""UR257U86O"",""UWW10VL06"",""UB9LLF16J"",""U4095YWYD"",""UWL5JX23M"",""UO513ARUP"",""U0D6182AR"",""U2XQ3JJAN"",""UL92954KA"",""U168N7Y9G"",""UPT27H737""]",engineering
U3TE14ET2,c6cb13e9-e2f2-4cf4-9de4-b9ab30d7ebec,U549234TU,46,29,2025-01-15T06:38:18Z,2025-01-15T07:30:26Z,"[""U3O3NUM10"",""UE0WA7608"",""UB51ZBPGJ"",""USI1BH3K3"",""U3TE14ET2"",""UN979RN92"",""ULAN263E4"",""U1FM88J9J"",""UNNH8IW78"",""U306GEBY8"",""UL2989703"",""UH1039P7I"",""U378U76S4"",""U6P582A60"",""ULWL32B29"",""UL96240J4"",""UYVM94HE1"",""UNVWFC5Q1"",""UA7M10C0O"",""U81OT695K"",""U0KG42Q0P"",""UKA77QAYY"",""UV4M04Y17"",""UZ5125Y28"",""UY640917T"",""UK839UQ5R"",""U7PX1XVTE"",""U9YFOYM78"",""UZ271WU40""]",general
U7PX1XVTE,ebbf0a43-42cd-4a9b-89e3-0daeec467c3f,U9YFOYM78,11,11,2024-10-17T00:35:16Z,2024-10-17T01:23:08Z,"[""UORS33I12"",""UYEP6YY91"",""U91Q0A72O"",""UIX8TSI0Y"",""UCL2RJ89X"",""UL9VWQ9S2"",""U7PX1XVTE"",""UQSF747QR"",""UNNH8IW78"",""UYEP6YY91"",""UCL2RJ89X""]",engineering
UK756E555,fed108e9-e393-4199-add1-42130e523307,U6P582A60,26,23,2024-10-25T04:33:13Z,2024-10-25T04:55:15Z,"[""U3O3NUM10"",""UL92954KA"",""U0D6182AR"",""U168N7Y9G"",""U4095YWYD"",""U81OT695K"",""U1FM88J9J"",""UV4M04Y17"",""UN979RN92"",""UPT27H737"",""UWW10VL06"",""UNC2V4ZD7"",""UH749DC04"",""UWBXBIUB7"",""UKA77QAYY"",""UEZMYV74R"",""UWL5JX23M"",""U6P582A60"",""UR257U86O"",""ULWL32B29"",""U0EIW7DOX"",""UYVM94HE1"",""UQY0NPYWN""]",random
U378U76S4,11027d43-a38e-48a8-b902-01046258efee,UL2989703,6,6,2025-04-16T01:22:35Z,2025-04-16T01:38:38Z,"[""UE83A3954"",""UH1039P7I"",""UK839UQ5R"",""U2XQ3JJAN"",""U8S28EIM6"",""UJ65P6F44""]",general
UFF1HYHJ2,96270939-dfd6-4f4e-aa3b-1d09d7eed4a2,UA3IV9419,8,3,2024-10-31T06:43:24Z,2024-10-31T07:17:41Z,"[""UNS22LGIY"",""USI1BH3K3"",""UFUV7GPHM""]",social
UU6K92DUR,75801b2e-32cb-466a-bad0-090058878535,UEZMYV74R,40,1,2024-08-04T01:30:12Z,2024-08-04T01:35:02Z,"[""UEA8H90WN""]",general
ULRS0HVJ3,46865cac-1fc7-4c1c-833a-d5e74ed30923,U34AX16M0,12,1,2025-05-22T04:18:36Z,2025-05-22T04:37:35Z,"[""U378U76S4""]",cats
U0KG42Q0P,b66ee28d-433a-4ce5-97c9-7f4b93af8e81,UYVM94HE1,40,23,2025-06-06T21:46:24Z,2025-06-06T22:30:14Z,"[""UG6UG9470"",""U5V38TNV1"",""UHGL04640"",""UB51ZBPGJ"",""U24SJD0U3"",""U7ZP08017"",""UN0J0I7F0"",""UL2989703"",""U91Q0A72O"",""U0KG42Q0P"",""UE0WA7608"",""U34AX16M0"",""UC3Z15JC3"",""U3TE14ET2"",""UO513ARUP"",""UV77JEL7Q"",""U2QXC4ZNG"",""ULRS0HVJ3"",""UOBK5OFZ0"",""UFF1HYHJ2"",""UB81I8027"",""UNY6WDI60"",""UY640917T""]",social
U91Q0A72O,66e856cf-5347-451b-95e8-3ca4709d1a55,UEA8H90WN,20,15,2025-03-10T01:35:40Z,2025-03-10T02:12:25Z,"[""UZ271WU40"",""U306GEBY8"",""U2M260029"",""U9YFOYM78"",""UZ5125Y28"",""UK4V3ON2O"",""U3GY5K9EQ"",""UIX8TSI0Y"",""U3U77Y17K"",""UA7M10C0O"",""UDC0ZA535"",""UNVWFC5Q1"",""ULAN263E4"",""UP9T7VJBF"",""UIDQ8QXI5""]",marketing
UYEP6YY91,a6ed2ed5-9aa9-46b2-ae13-a16b82c6e210,U378U76S4,33,10,2025-07-15T22:19:57Z,2025-07-15T23:00:08Z,"[""U3HY0BS3W"",""U08ITMEA6"",""UU6K92DUR"",""UZ90K3JDW"",""UORS33I12"",""UB9LLF16J"",""U84A3Q05B"",""U7W96XW2A"",""UL96240J4"",""U0GBC0N90""]",general
UA3IV9419,7b080ee2-2026-4393-9acd-8a6a4b18e894,U84A3Q05B,12,3,2025-07-08T10:44:02Z,2025-07-08T11:31:48Z,"[""UF39WLXAT"",""U0381889F"",""UYJ494VWS""]",marketing
U306GEBY8,f161521f-2172-4147-b816-380e3ac03c02,UKA77QAYY,2,2,2025-07-15T22:50:39Z,2025-07-15T23:03:39Z,"[""U9E255NN9"",""U85PB3J63""]",social
UOBK5OFZ0,cef7a291-a9b2-472d-9759-55ec60cf2fd9,UH1039P7I,25,16,2025-06-02T00:37:14Z,2025-06-02T01:06:06Z,"[""U549234TU"",""U96N45CL2"",""UU95TZPYP"",""US3QTX4Z1"",""UA3IV9419"",""UK756E555"",""U4095YWYD"",""ULRS0HVJ3"",""UA7M10C0O"",""US3QTX4Z1"",""UOBK5OFZ0"",""UB9LLF16J"",""U9E255NN9"",""UK4V3ON2O"",""U2M260029"",""U6P582A60""]",marketing
UU95TZPYP,0bcffd89-1b0d-4fcd-9144-c7d0c462806d,UFUV7GPHM,39,28,2025-08-23T13:18:11Z,2025-08-23T13:57:41Z,"[""UZ271WU40"",""UORS33I12"",""UK839UQ5R"",""UNS22LGIY"",""U85PB3J63"",""U3O3NUM10"",""UHGL04640"",""UL96240J4"",""U91Q0A72O"",""ULWL32B29"",""U34AX16M0"",""UB81I8027"",""UL92954KA"",""UNY6WDI60"",""U378U76S4"",""USI1BH3K3"",""U2XQ3JJAN"",""UV77JEL7Q"",""UQSF747QR"",""U08ITMEA6"",""UZ5125Y28"",""UP9T7VJBF"",""UWL5JX23M"",""UZ90K3JDW"",""UDC0ZA535"",""U3HY0BS3W"",""U9YFOYM78"",""UNVWFC5Q1""]",engineering
U168N7Y9G,e198bc86-34ba-469e-9ccf-df56c074264d,UNS22LGIY,41,29,2024-08-09T23:01:36Z,2024-08-09T23:49:06Z,"[""UY640917T"",""UR257U86O"",""U0GBC0N90"",""UEZMYV74R"",""UEA8H90WN"",""UFF1HYHJ2"",""UYEP6YY91"",""U24SJD0U3"",""U306GEBY8"",""UWW10VL06"",""U0381889F"",""U0EIW7DOX"",""UG6UG9470"",""U0D6182AR"",""UNNH8IW78"",""U0KG42Q0P"",""U7ZP08017"",""UK756E555"",""U2QXC4ZNG"",""U3U77Y17K"",""ULAN263E4"",""UNC2V4ZD7"",""U3GY5K9EQ"",""UB51ZBPGJ"",""U84A3Q05B"",""UN979RN92"",""UKA77QAYY"",""UN0J0I7F0"",""U8S28EIM6""]",random
UIX8TSI0Y,1a1f21bf-d5d8-45c2-9a0f-a10d8adb6955,UK756E555,36,22,2024-12-21T16:16:59Z,2024-12-21T17:13:09Z,"[""UYVM94HE1"",""UJ65P6F44"",""UF39WLXAT"",""UO513ARUP"",""U1FM88J9J"",""UV4M04Y17"",""UQY0NPYWN"",""UU95TZPYP"",""U7W96XW2A"",""U81OT695K"",""UCL2RJ89X"",""U5V38TNV1"",""UH749DC04"",""UL9VWQ9S2"",""UC3Z15JC3"",""UIDQ8QXI5"",""UH1039P7I"",""U3TE14ET2"",""UE83A3954"",""U168N7Y9G"",""UYJ494VWS"",""UE0WA7608""]",random
UCL2RJ89X,70cc50ab-8ec5-43e6-b390-524903c9b9ff,UIX8TSI0Y,31,2,2024-08-26T04:40:43Z,2024-08-26T05:40:30Z,"[""U96N45CL2"",""UIX8TSI0Y""]",social
UEA8H90WN,111920bb-15fc-4e17-b34e-a95d01653950,U91Q0A72O,23,14,2024-11-12T19:33:38Z,2024-11-12T19:43:12Z,"[""UFUV7GPHM"",""UKVN1ZI1Z"",""UU6K92DUR"",""UL2989703"",""UA3IV9419"",""U549234TU"",""UWBXBIUB7"",""UOBK5OFZ0"",""ULWL32B29"",""U24SJD0U3"",""U0381889F"",""U0KG42Q0P"",""UH749DC04"",""UNY6WDI60""]",general
