account_id,account_name,industry,segment,region,billing_country,usage_date,workspace_days_reporting,active_users,projects_run,api_calls,alerts_sent,max_storage_gb,avg_storage_gb
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-06,1,1,7,351,2,14.0,14.0
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-15,1,1,4,281,1,16.7,16.7
A1020,Pioneer Network,travel,smb,EMEA,FR,2025-06-12,1,3,13,873,3,21.0,21.0
A1022,Summit Collective,retail,smb,APAC,NZ,2025-06-01,1,2,5,376,1,13.7,13.7
A1022,Summit Collective,retail,smb,APAC,NZ,2025-06-08,1,2,6,278,1,15.1,15.1
A1022,Summit Collective,retail,smb,APAC,NZ,2025-06-14,1,1,4,249,1,15.7,15.7
A1023,Atlas Systems,education,smb,NA,CA,2025-06-18,1,7,23,1457,6,13.0,13.0
A1023,Atlas Systems,education,smb,NA,CA,2025-06-22,1,3,8,377,2,14.4,14.4
A1023,Atlas Systems,education,smb,NA,CA,2025-06-26,1,6,21,1004,5,15.9,15.9
A1023,Atlas Systems,education,smb,NA,CA,2025-06-27,1,6,26,1161,3,16.6,16.6
A1024,Sierra Group,manufacturing,smb,NA,CA,2025-06-01,2,4,12,726,2,16.1,15.100000000000001
A1024,Sierra Group,manufacturing,smb,NA,CA,2025-06-08,2,3,9,606,2,17.1,16.75
A1024,Sierra Group,manufacturing,smb,NA,CA,2025-06-14,2,4,11,679,2,18.5,18.0
A1025,Bright Capital,education,smb,EMEA,UK,2025-06-18,1,5,21,1149,5,24.2,24.2
A1025,Bright Capital,education,smb,EMEA,UK,2025-06-22,1,1,4,242,1,25.1,25.1
A1025,Bright Capital,education,smb,EMEA,UK,2025-06-26,1,4,15,967,2,25.9,25.9
A1025,Bright Capital,education,smb,EMEA,UK,2025-06-27,1,4,16,1161,2,25.8,25.8
A1026,Pioneer Capital,education,smb,NA,CA,2025-06-17,1,4,20,1459,3,13.6,13.6
A1027,BluePeak Health,retail,smb,APAC,SG,2025-06-05,2,5,24,1571,6,17.6,15.9
A1027,BluePeak Health,retail,smb,APAC,SG,2025-06-28,2,3,9,569,2,20.7,17.9
A1027,BluePeak Health,retail,smb,APAC,SG,2025-06-29,2,2,8,578,2,21.5,19.15
A1027,BluePeak Health,retail,smb,APAC,SG,2025-06-30,2,3,16,1181,3,20.5,19.05
A1030,Northwind Analytics,financial_services,enterprise,EMEA,UK,2025-06-11,4,8,77,5190,11,44.9,39.45
A1030,Northwind Analytics,financial_services,enterprise,EMEA,UK,2025-06-19,4,11,81,5367,15,44.5,40.75
A1031,Helio Holdings,healthcare,mid_market,APAC,AU,2025-06-13,3,8,46,2454,9,37.3,30.833333333333332
A1031,Helio Holdings,healthcare,mid_market,APAC,AU,2025-06-23,3,8,44,2361,9,41.0,32.733333333333334
A1033,Lighthouse Global,logistics,mid_market,NA,CA,2025-06-01,2,5,14,819,3,33.1,26.700000000000003
A1033,Lighthouse Global,logistics,mid_market,NA,CA,2025-06-08,2,7,18,1289,5,34.5,27.7
A1033,Lighthouse Global,logistics,mid_market,NA,CA,2025-06-14,2,8,22,1662,4,35.6,29.35
A1034,Helio Partners,travel,smb,NA,CA,2025-06-11,1,4,15,935,3,17.3,17.3
A1034,Helio Partners,travel,smb,NA,CA,2025-06-19,1,3,16,732,3,17.2,17.2
A1035,Bright Retail,retail,mid_market,EMEA,UK,2025-06-17,2,6,37,2256,7,38.3,32.45
A1037,Lighthouse Network,media,enterprise,EMEA,UK,2025-06-16,2,5,36,2509,6,63.9,58.599999999999994
A1037,Lighthouse Network,media,enterprise,EMEA,UK,2025-06-21,2,5,21,1247,5,64.9,60.1
A1037,Lighthouse Network,media,enterprise,EMEA,UK,2025-06-25,2,7,49,2462,12,65.2,60.150000000000006
A1038,River Systems,logistics,smb,APAC,AU,2025-06-13,2,3,19,1160,3,23.3,22.8
A1038,River Systems,logistics,smb,APAC,AU,2025-06-23,2,3,17,1189,3,24.9,24.25
A1039,Nova Group,media,smb,EMEA,FR,2025-06-11,1,6,20,1169,5,20.1,20.1
A1039,Nova Group,media,smb,EMEA,FR,2025-06-19,1,5,24,1306,5,21.3,21.3
A1040,Harbor Collective,healthcare,mid_market,APAC,SG,2025-06-13,2,3,24,1317,5,37.8,37.7
A1040,Harbor Collective,healthcare,mid_market,APAC,SG,2025-06-23,2,5,30,2064,6,39.9,38.75
A1041,Cedar Logistics,media,mid_market,EMEA,NL,2025-06-17,2,8,47,2921,10,33.0,26.35
A1042,Northwind Labs,manufacturing,mid_market,APAC,AU,2025-06-16,2,4,24,1328,5,32.1,29.55
A1042,Northwind Labs,manufacturing,mid_market,APAC,AU,2025-06-21,2,4,14,810,2,33.7,31.200000000000003
A1042,Northwind Labs,manufacturing,mid_market,APAC,AU,2025-06-25,2,6,34,2391,9,33.4,30.5
A1043,Lighthouse Works,financial_services,enterprise,APAC,SG,2025-06-16,3,12,75,3646,16,50.3,48.9
A1043,Lighthouse Works,financial_services,enterprise,APAC,SG,2025-06-21,3,5,27,1681,6,52.6,49.699999999999996
A1043,Lighthouse Works,financial_services,enterprise,APAC,SG,2025-06-25,3,11,70,4367,15,53.8,50.86666666666667
A1044,Summit Holdings,software,smb,EMEA,NL,2025-06-04,1,4,18,1315,4,11.4,11.4
A1044,Summit Holdings,software,smb,EMEA,NL,2025-06-09,1,4,13,664,3,12.2,12.2
A1045,Nova Holdings,manufacturing,enterprise,NA,CA,2025-06-04,4,14,97,5532,22,65.3,51.025
A1045,Nova Holdings,manufacturing,enterprise,NA,CA,2025-06-09,4,15,89,5106,19,65.5,51.425000000000004
A1046,Pioneer Solutions,education,smb,NA,CA,2025-06-05,1,1,8,439,2,12.6,12.6
A1046,Pioneer Solutions,education,smb,NA,CA,2025-06-28,1,2,6,416,1,17.4,17.4
A1046,Pioneer Solutions,education,smb,NA,CA,2025-06-29,1,2,6,285,1,15.5,15.5
A1046,Pioneer Solutions,education,smb,NA,CA,2025-06-30,1,3,15,877,3,17.3,17.3
A1047,Orchid Global,healthcare,enterprise,APAC,AU,2025-06-12,2,13,65,4422,15,67.1,66.15
A1048,Orchid Capital,financial_services,enterprise,APAC,NZ,2025-06-11,3,13,82,5363,18,53.7,41.13333333333333
A1048,Orchid Capital,financial_services,enterprise,APAC,NZ,2025-06-19,3,10,62,3968,14,53.8,42.199999999999996
A1049,Northwind Network,energy,enterprise,NA,CA,2025-06-12,3,15,84,4589,17,67.0,58.300000000000004
A1050,Cedar Energy,software,smb,APAC,JP,2025-06-05,1,2,10,736,2,16.1,16.1
A1050,Cedar Energy,software,smb,APAC,JP,2025-06-28,1,1,4,305,1,17.9,17.9
A1050,Cedar Energy,software,smb,APAC,JP,2025-06-29,1,1,3,148,0,20.5,20.5
A1050,Cedar Energy,software,smb,APAC,JP,2025-06-30,1,1,6,393,1,20.9,20.9
A1051,Lighthouse Systems,media,smb,EMEA,UK,2025-06-17,1,2,12,551,3,24.8,24.8
A1052,Sierra Labs,software,mid_market,APAC,NZ,2025-06-06,2,10,37,2454,9,32.5,27.4
A1052,Sierra Labs,software,mid_market,APAC,NZ,2025-06-15,2,3,13,739,3,33.8,29.049999999999997
A1053,Bright Health,media,mid_market,NA,CA,2025-06-11,3,7,45,2424,8,39.8,37.266666666666666
A1053,Bright Health,media,mid_market,NA,CA,2025-06-19,3,7,46,2322,11,40.5,38.5
A1054,Granite Labs,manufacturing,mid_market,APAC,NZ,2025-06-10,3,7,48,2864,10,40.9,37.13333333333333
A1054,Granite Labs,manufacturing,mid_market,APAC,NZ,2025-06-20,3,8,47,2927,10,43.7,39.6
A1055,Pioneer Systems,travel,mid_market,EMEA,FR,2025-06-24,1,4,19,1099,5,33.3,33.3
A1056,Delta Global,retail,mid_market,APAC,AU,2025-06-07,3,4,17,804,3,40.7,38.13333333333333
A1057,Harbor Partners,education,enterprise,APAC,NZ,2025-06-24,3,8,67,4139,16,54.5,43.333333333333336
A1058,Evergreen Analytics,travel,smb,EMEA,UK,2025-06-07,2,3,10,741,2,20.9,19.15
A1059,Evergreen Partners,education,mid_market,NA,CA,2025-06-04,1,5,20,1471,4,38.2,38.2
A1059,Evergreen Partners,education,mid_market,NA,CA,2025-06-09,1,3,14,1037,2,38.4,38.4
A1060,Cedar Foods,healthcare,mid_market,NA,CA,2025-06-17,1,7,30,1840,5,28.9,28.9
A1061,Atlas Capital,travel,enterprise,EMEA,FR,2025-06-18,2,6,47,2796,10,46.1,44.3
A1061,Atlas Capital,travel,enterprise,EMEA,FR,2025-06-22,2,5,20,1180,4,47.4,45.25
A1061,Atlas Capital,travel,enterprise,EMEA,FR,2025-06-26,2,8,44,3265,8,48.0,45.9
A1061,Atlas Capital,travel,enterprise,EMEA,FR,2025-06-27,2,10,55,3605,15,48.1,46.35
A1062,Delta Manufacturing,travel,enterprise,EMEA,NL,2025-06-13,3,13,74,5420,14,57.1,47.13333333333333
A1062,Delta Manufacturing,travel,enterprise,EMEA,NL,2025-06-23,3,8,57,3833,11,58.7,48.800000000000004
A1063,Maple Global,education,smb,NA,CA,2025-06-16,1,1,7,355,1,21.9,21.9
A1063,Maple Global,education,smb,NA,CA,2025-06-21,1,1,4,258,1,22.9,22.9
A1063,Maple Global,education,smb,NA,CA,2025-06-25,1,2,12,715,2,22.9,22.9
A1064,Atlas Health,education,smb,NA,US,2025-06-05,1,1,7,361,2,23.3,23.3
A1064,Atlas Health,education,smb,NA,US,2025-06-28,1,3,6,468,1,26.6,26.6
A1064,Atlas Health,education,smb,NA,US,2025-06-29,1,3,7,371,1,26.8,26.8
A1064,Atlas Health,education,smb,NA,US,2025-06-30,1,2,9,421,2,26.6,26.6
A1065,Vertex Partners,manufacturing,mid_market,NA,US,2025-06-03,2,8,42,2884,7,21.7,20.5
A1066,Pacific Capital,manufacturing,mid_market,APAC,NZ,2025-06-16,2,10,42,2801,9,38.0,37.9
A1066,Pacific Capital,manufacturing,mid_market,APAC,NZ,2025-06-21,2,6,19,1246,5,40.5,39.85
A1066,Pacific Capital,manufacturing,mid_market,APAC,NZ,2025-06-25,2,8,41,2442,10,39.3,38.45
A1067,Maple Energy,healthcare,mid_market,NA,CA,2025-06-18,1,2,16,938,4,32.3,32.3
A1067,Maple Energy,healthcare,mid_market,NA,CA,2025-06-22,1,1,6,419,1,31.5,31.5
A1067,Maple Energy,healthcare,mid_market,NA,CA,2025-06-26,1,3,16,998,3,32.8,32.8
A1067,Maple Energy,healthcare,mid_market,NA,CA,2025-06-27,1,3,16,763,4,32.0,32.0
A1068,Helio Health,manufacturing,enterprise,APAC,SG,2025-06-11,3,8,61,3732,12,56.9,41.73333333333333
A1068,Helio Health,manufacturing,enterprise,APAC,SG,2025-06-19,3,8,61,4135,11,59.7,44.03333333333334
A1069,Bright Foods,manufacturing,enterprise,NA,CA,2025-06-10,3,8,66,4374,12,65.4,57.46666666666667
A1069,Bright Foods,manufacturing,enterprise,NA,CA,2025-06-20,3,11,61,3060,13,66.0,58.46666666666666
A1070,Helio Manufacturing,manufacturing,smb,APAC,NZ,2025-06-13,1,5,15,1009,2,15.2,15.2
A1070,Helio Manufacturing,manufacturing,smb,APAC,NZ,2025-06-23,1,5,17,1129,3,16.8,16.8
A1071,Evergreen Group,education,mid_market,NA,CA,2025-06-06,2,7,32,1975,5,34.4,27.15
A1071,Evergreen Group,education,mid_market,NA,CA,2025-06-15,2,7,20,1311,4,35.8,28.5
A1072,Summit Ventures,software,enterprise,NA,US,2025-06-06,2,7,44,2177,10,67.0,47.9
A1072,Summit Ventures,software,enterprise,NA,US,2025-06-15,2,5,21,1563,4,68.7,49.5
A1073,Silver Holdings,travel,mid_market,EMEA,DE,2025-06-18,2,9,52,3423,9,20.2,19.4
A1073,Silver Holdings,travel,mid_market,EMEA,DE,2025-06-22,2,5,15,936,3,20.4,19.95
A1073,Silver Holdings,travel,mid_market,EMEA,DE,2025-06-26,2,8,43,2271,7,19.9,19.799999999999997
A1073,Silver Holdings,travel,mid_market,EMEA,DE,2025-06-27,2,8,39,2376,6,22.8,21.15
A1074,Granite Analytics,retail,mid_market,NA,CA,2025-06-06,3,9,52,2774,11,30.7,29.166666666666668
A1074,Granite Analytics,retail,mid_market,NA,CA,2025-06-15,3,6,21,1100,5,31.9,30.833333333333332
A1075,Cedar Labs,software,smb,EMEA,UK,2025-06-12,1,6,22,1245,4,24.8,24.8
A1076,Atlas Solutions,financial_services,mid_market,EMEA,UK,2025-06-24,2,9,42,2870,8,42.6,33.35
A1077,Evergreen Foods,travel,mid_market,NA,CA,2025-06-05,3,4,33,1783,6,33.0,28.3
A1077,Evergreen Foods,travel,mid_market,NA,CA,2025-06-28,3,6,20,1138,3,35.4,31.399999999999995
A1077,Evergreen Foods,travel,mid_market,NA,CA,2025-06-29,3,3,15,777,3,36.4,31.3
A1077,Evergreen Foods,travel,mid_market,NA,CA,2025-06-30,3,6,38,2104,7,36.0,30.5
A1078,Beacon Foods,software,mid_market,EMEA,FR,2025-06-13,3,7,43,2072,9,32.5,26.933333333333337
A1078,Beacon Foods,software,mid_market,EMEA,FR,2025-06-23,3,5,34,2172,5,35.3,29.166666666666668
A1079,Nova Foods,education,enterprise,EMEA,FR,2025-06-02,4,15,88,4868,20,64.3,52.35
A1081,River Collective,financial_services,mid_market,NA,CA,2025-06-06,2,7,31,2200,5,27.0,24.35
A1081,River Collective,financial_services,mid_market,NA,CA,2025-06-15,2,3,12,711,3,28.8,25.950000000000003
A1083,Falcon Works,education,mid_market,NA,CA,2025-06-05,1,3,18,1116,3,31.5,31.5
A1083,Falcon Works,education,mid_market,NA,CA,2025-06-28,1,1,5,368,1,33.9,33.9
A1083,Falcon Works,education,mid_market,NA,CA,2025-06-29,1,1,5,361,1,35.5,35.5
A1083,Falcon Works,education,mid_market,NA,CA,2025-06-30,1,3,18,1212,2,34.5,34.5
A1084,Silver Foods,manufacturing,mid_market,NA,CA,2025-06-10,2,9,48,3052,12,42.1,38.6
A1084,Silver Foods,manufacturing,mid_market,NA,CA,2025-06-20,2,9,41,2724,9,43.3,40.8
A1085,Sierra Capital,financial_services,smb,NA,US,2025-06-17,1,3,13,819,3,19.1,19.1
A1086,River Labs,software,smb,EMEA,FR,2025-06-01,1,1,4,265,1,22.2,22.2
A1086,River Labs,software,smb,EMEA,FR,2025-06-08,1,2,5,398,1,22.7,22.7
A1086,River Labs,software,smb,EMEA,FR,2025-06-14,1,2,6,338,1,23.7,23.7
A1088,Cedar Partners,energy,smb,APAC,NZ,2025-06-16,1,5,22,1609,5,17.1,17.1
A1088,Cedar Partners,energy,smb,APAC,NZ,2025-06-21,1,3,6,414,1,17.4,17.4
A1088,Cedar Partners,energy,smb,APAC,NZ,2025-06-25,1,3,13,931,2,19.2,19.2
A1089,Beacon Network,healthcare,mid_market,NA,US,2025-06-24,2,8,46,2595,7,34.5,30.35
A1090,Vertex Labs,energy,smb,NA,US,2025-06-11,1,4,17,1090,5,20.9,20.9
A1090,Vertex Labs,energy,smb,NA,US,2025-06-19,1,2,9,400,2,21.7,21.7
A1001,Helio Systems,healthcare,mid_market,EMEA,NL,2025-06-17,3,4,35,1993,5,29.9,26.566666666666663
A1002,Summit Foods,media,mid_market,NA,US,2025-06-06,2,4,27,1473,4,32.4,30.95
A1002,Summit Foods,media,mid_market,NA,US,2025-06-15,2,3,12,749,2,33.0,32.05
A1003,Nova Ventures,manufacturing,enterprise,NA,US,2025-06-02,2,11,61,3116,16,59.2,50.1
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-05,3,8,63,2931,11,55.9,48.1
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-28,3,8,32,1911,6,60.3,52.03333333333333
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-29,3,5,26,1365,6,59.6,51.866666666666674
A1005,Pacific Labs,manufacturing,enterprise,EMEA,UK,2025-06-30,3,11,66,3887,11,58.4,51.699999999999996
A1006,Helio Works,education,mid_market,EMEA,UK,2025-06-13,2,6,30,2218,8,27.3,24.65
A1006,Helio Works,education,mid_market,EMEA,UK,2025-06-23,2,4,26,1444,4,30.0,25.5
A1007,Silver Systems,energy,smb,EMEA,FR,2025-06-01,1,1,4,240,1,20.0,20.0
A1007,Silver Systems,energy,smb,EMEA,FR,2025-06-08,1,1,4,279,1,21.0,21.0
A1007,Silver Systems,energy,smb,EMEA,FR,2025-06-14,1,1,4,184,1,21.6,21.6
A1008,Pacific Works,software,mid_market,EMEA,UK,2025-06-16,3,9,51,3538,10,22.2,20.133333333333336
A1008,Pacific Works,software,mid_market,EMEA,UK,2025-06-21,3,4,19,1248,5,22.7,21.433333333333334
A1008,Pacific Works,software,mid_market,EMEA,UK,2025-06-25,3,11,59,3345,11,22.9,22.166666666666668
A1009,Summit Group,financial_services,mid_market,NA,US,2025-06-11,2,6,37,2199,5,24.8,22.3
A1009,Summit Group,financial_services,mid_market,NA,US,2025-06-19,2,9,44,2592,9,25.8,23.65
A1010,Orchid Foods,education,smb,NA,CA,2025-06-01,1,4,9,568,2,22.6,22.6
A1010,Orchid Foods,education,smb,NA,CA,2025-06-08,1,4,10,802,1,24.6,24.6
A1010,Orchid Foods,education,smb,NA,CA,2025-06-14,1,2,5,359,1,25.4,25.4
A1011,Vertex Energy,software,smb,NA,CA,2025-06-04,1,6,30,1618,7,23.2,23.2
A1011,Vertex Energy,software,smb,NA,CA,2025-06-09,1,5,16,1149,4,23.7,23.7
A1012,Cedar Ventures,retail,smb,APAC,JP,2025-06-10,1,3,14,990,2,23.6,23.6
A1012,Cedar Ventures,retail,smb,APAC,JP,2025-06-20,1,4,15,1007,4,25.3,25.3
A1013,River Foods,manufacturing,mid_market,NA,US,2025-06-02,3,5,35,2256,6,22.7,20.5
A1016,BluePeak Capital,energy,enterprise,EMEA,DE,2025-06-07,4,7,36,2352,6,63.1,49.724999999999994
A1017,Summit Analytics,financial_services,mid_market,EMEA,UK,2025-06-02,2,4,24,1385,6,29.8,29.8
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-05,1,1,7,341,1,13.6,13.6
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-28,1,1,4,255,1,17.2,17.2
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-29,1,1,4,271,1,16.3,16.3
A1019,Sierra Systems,education,smb,APAC,JP,2025-06-30,1,1,6,281,1,19.2,19.2
A1020,Pioneer Network,travel,smb,EMEA,FR,2025-06-11,1,1,8,564,1,20.4,20.4
A1020,Pioneer Network,travel,smb,EMEA,FR,2025-06-19,1,2,12,757,3,20.4,20.4
A1021,Apex Logistics,software,smb,NA,US,2025-06-18,1,6,27,1770,4,22.2,22.2
A1021,Apex Logistics,software,smb,NA,US,2025-06-22,1,4,11,587,2,24.1,24.1
A1021,Apex Logistics,software,smb,NA,US,2025-06-26,1,4,15,668,4,25.1,25.1
A1021,Apex Logistics,software,smb,NA,US,2025-06-27,1,5,16,832,4,23.4,23.4
A1022,Summit Collective,retail,smb,APAC,NZ,2025-06-10,1,1,9,374,2,14.8,14.8
A1022,Summit Collective,retail,smb,APAC,NZ,2025-06-20,1,2,10,484,2,16.0,16.0
A1024,Sierra Group,manufacturing,smb,NA,CA,2025-06-10,2,5,26,1518,4,16.5,16.35
A1024,Sierra Group,manufacturing,smb,NA,CA,2025-06-20,2,5,25,1410,7,18.0,17.35
A1026,Pioneer Capital,education,smb,NA,CA,2025-06-04,1,6,21,1217,3,11.8,11.8
A1026,Pioneer Capital,education,smb,NA,CA,2025-06-09,1,6,23,1537,5,12.4,12.4
A1027,BluePeak Health,retail,smb,APAC,SG,2025-06-06,2,3,17,1067,3,18.0,15.6
A1027,BluePeak Health,retail,smb,APAC,SG,2025-06-15,2,2,8,523,2,19.1,17.3
A1028,Apex Energy,energy,mid_market,APAC,SG,2025-06-18,1,5,27,1631,7,30.8,30.8
A1028,Apex Energy,energy,mid_market,APAC,SG,2025-06-22,1,1,5,315,1,31.0,31.0
A1028,Apex Energy,energy,mid_market,APAC,SG,2025-06-26,1,6,21,1438,5,30.6,30.6
A1028,Apex Energy,energy,mid_market,APAC,SG,2025-06-27,1,5,25,1872,7,31.5,31.5
A1030,Northwind Analytics,financial_services,enterprise,EMEA,UK,2025-06-12,4,6,69,4193,14,45.4,40.225
A1031,Helio Holdings,healthcare,mid_market,APAC,AU,2025-06-24,3,7,48,2495,12,40.4,32.9
A1033,Lighthouse Global,logistics,mid_market,NA,CA,2025-06-10,2,12,61,3335,9,35.1,28.35
A1033,Lighthouse Global,logistics,mid_market,NA,CA,2025-06-20,2,9,42,2275,6,35.9,29.45
A1034,Helio Partners,travel,smb,NA,CA,2025-06-12,1,1,8,343,2,15.9,15.9
A1035,Bright Retail,retail,mid_market,EMEA,UK,2025-06-04,2,5,28,1826,5,36.6,31.15
A1035,Bright Retail,retail,mid_market,EMEA,UK,2025-06-09,2,6,32,1952,8,37.1,31.6
A1037,Lighthouse Network,media,enterprise,EMEA,UK,2025-06-07,2,4,19,909,4,63.0,57.5
A1038,River Systems,logistics,smb,APAC,AU,2025-06-24,2,2,16,977,2,24.4,24.1
A1039,Nova Group,media,smb,EMEA,FR,2025-06-12,1,4,16,949,2,19.0,19.0
A1040,Harbor Collective,healthcare,mid_market,APAC,SG,2025-06-24,2,3,27,1689,6,38.9,38.75
A1041,Cedar Logistics,media,mid_market,EMEA,NL,2025-06-04,2,10,47,3014,9,30.8,24.8
A1041,Cedar Logistics,media,mid_market,EMEA,NL,2025-06-09,2,8,41,2768,7,31.5,25.7
A1042,Northwind Labs,manufacturing,mid_market,APAC,AU,2025-06-07,2,4,14,800,3,32.2,29.150000000000002
A1043,Lighthouse Works,financial_services,enterprise,APAC,SG,2025-06-07,3,5,27,1588,4,49.9,47.633333333333326
A1044,Summit Holdings,software,smb,EMEA,NL,2025-06-17,1,4,17,1248,5,14.5,14.5
A1045,Nova Holdings,manufacturing,enterprise,NA,CA,2025-06-17,4,11,94,5536,19,67.4,52.975
A1046,Pioneer Solutions,education,smb,NA,CA,2025-06-06,1,4,19,1056,4,13.6,13.6
A1046,Pioneer Solutions,education,smb,NA,CA,2025-06-15,1,1,4,210,1,14.3,14.3
A1047,Orchid Global,healthcare,enterprise,APAC,AU,2025-06-11,2,11,59,3822,14,66.4,64.9
A1047,Orchid Global,healthcare,enterprise,APAC,AU,2025-06-19,2,13,64,3976,15,66.8,66.19999999999999
A1048,Orchid Capital,financial_services,enterprise,APAC,NZ,2025-06-12,3,14,76,4509,14,54.4,41.733333333333334
A1049,Northwind Network,energy,enterprise,NA,CA,2025-06-11,3,15,82,4417,13,67.4,58.13333333333333
A1049,Northwind Network,energy,enterprise,NA,CA,2025-06-19,3,12,76,5315,20,69.1,59.06666666666666
A1050,Cedar Energy,software,smb,APAC,JP,2025-06-06,1,2,9,646,1,16.0,16.0
A1050,Cedar Energy,software,smb,APAC,JP,2025-06-15,1,1,4,258,1,18.1,18.1
A1051,Lighthouse Systems,media,smb,EMEA,UK,2025-06-04,1,3,17,1134,2,22.7,22.7
A1051,Lighthouse Systems,media,smb,EMEA,UK,2025-06-09,1,1,7,460,1,24.1,24.1
A1052,Sierra Labs,software,mid_market,APAC,NZ,2025-06-05,2,8,38,2005,6,32.0,27.25
A1052,Sierra Labs,software,mid_market,APAC,NZ,2025-06-28,2,6,19,1382,4,35.4,30.799999999999997
A1052,Sierra Labs,software,mid_market,APAC,NZ,2025-06-29,2,5,15,1104,3,36.7,31.400000000000002
A1052,Sierra Labs,software,mid_market,APAC,NZ,2025-06-30,2,8,35,1861,8,35.1,30.450000000000003
A1053,Bright Health,media,mid_market,NA,CA,2025-06-12,3,6,38,1911,6,39.9,37.6
A1054,Granite Labs,manufacturing,mid_market,APAC,NZ,2025-06-01,3,5,20,1357,4,40.1,36.26666666666666
A1054,Granite Labs,manufacturing,mid_market,APAC,NZ,2025-06-08,3,4,18,1177,3,41.8,37.46666666666666
A1054,Granite Labs,manufacturing,mid_market,APAC,NZ,2025-06-14,3,7,22,1321,5,41.4,37.56666666666666
A1055,Pioneer Systems,travel,mid_market,EMEA,FR,2025-06-13,1,4,21,1548,5,30.3,30.3
A1055,Pioneer Systems,travel,mid_market,EMEA,FR,2025-06-23,1,4,18,796,5,30.7,30.7
A1056,Delta Global,retail,mid_market,APAC,AU,2025-06-16,3,11,47,3456,12,40.6,38.93333333333334
A1056,Delta Global,retail,mid_market,APAC,AU,2025-06-21,3,3,17,1047,4,43.0,39.666666666666664
A1056,Delta Global,retail,mid_market,APAC,AU,2025-06-25,3,9,55,3437,11,42.2,40.0
A1057,Harbor Partners,education,enterprise,APAC,NZ,2025-06-13,3,8,59,3785,12,54.3,41.96666666666666
A1057,Harbor Partners,education,enterprise,APAC,NZ,2025-06-23,3,7,52,2998,10,54.7,43.633333333333326
A1058,Evergreen Analytics,travel,smb,EMEA,UK,2025-06-16,2,3,17,992,3,23.4,21.299999999999997
A1058,Evergreen Analytics,travel,smb,EMEA,UK,2025-06-21,2,3,9,540,2,23.9,21.6
