account_id,latest_subscription_id,plan_id,plan_name,plan_family,billing_cycle,support_tier,latest_subscription_status,latest_subscription_start_date,latest_subscription_end_date,contracted_seats,discount_pct,effective_monthly_value_usd,geo_segment,latest_invoice_id,latest_invoice_date,latest_invoice_due_date,latest_invoice_status,latest_payment_status,latest_payment_method,latest_payment_date,latest_invoice_total_usd,latest_invoice_amount_paid_usd,latest_outstanding_amount_usd,past_due_invoice_count,open_invoice_count,has_past_due_invoice
A1011,S6014,P5002,Growth Monthly,growth,monthly,priority,active,2025-02-01,,6,0.0,1500.0,NA / smb,I7051,2025-06-01,2025-06-15,paid,paid,ach,2025-06-09,1500.0,1500.0,0.0,0,0,false
A1015,S6018,P5002,Growth Monthly,growth,monthly,priority,canceled,2025-01-01,2025-04-30,5,0.0,1500.0,NA / smb,I7071,2025-04-01,2025-04-15,paid,paid,ach,2025-04-12,1500.0,1500.0,0.0,0,0,false
A1018,S6021,P5001,Starter Monthly,starter,monthly,standard,canceled,2025-01-01,2025-04-30,5,0.0,500.0,EMEA / smb,I7082,2025-04-01,2025-04-15,paid,paid,wire,2025-04-06,600.0,600.0,0.0,0,0,false
A1036,S6040,P5002,Growth Monthly,growth,monthly,priority,canceled,2025-01-01,2025-04-30,5,20.0,1200.0,NA / smb,I7172,2025-04-01,2025-04-15,paid,paid,ach,2025-04-12,1200.0,1200.0,0.0,0,0,false
A1052,S6060,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,10,5.0,1425.0,APAC / mid_market,I7242,2025-06-01,2025-06-15,paid,paid,wire,2025-06-10,1567.5,1567.5,0.0,0,0,false
A1062,S6071,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,18,0.0,2600.0,EMEA / enterprise,I7293,2025-06-01,2025-06-15,paid,paid,ach,2025-06-11,3120.0,3120.0,0.0,0,0,false
A1016,S6019,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,24,10.0,2025.0,EMEA / enterprise,I7072,2025-01-01,2025-01-15,paid,paid,wire,2025-01-12,31560.0,31560.0,0.0,0,0,false
A1053,S6061,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,12,0.0,1500.0,NA / mid_market,I7248,2025-06-01,2025-06-15,paid,paid,ach,2025-06-14,1500.0,1500.0,0.0,0,0,false
A1081,S6092,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,10,0.0,2600.0,NA / mid_market,I7387,2025-06-01,2025-06-15,paid,paid,ach,2025-06-13,2600.0,2600.0,0.0,0,0,false
A1022,S6025,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,6,0.0,1500.0,APAC / smb,I7100,2025-06-01,2025-06-15,paid,paid,wire,2025-06-12,1650.0,1650.0,0.0,0,0,false
A1068,S6077,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,19,0.0,2600.0,APAC / enterprise,I7328,2025-06-01,2025-06-15,open,,,,2834.0,0.0,2834.0,0,1,false
A1083,S6095,P5002,Growth Monthly,growth,monthly,priority,active,2025-04-01,,9,20.0,1200.0,NA / mid_market,I7396,2025-06-01,2025-06-15,paid,failed,ach,2025-06-15,1200.0,1200.0,0.0,0,0,false
A1009,S6012,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-03-01,,13,10.0,2340.0,NA / mid_market,I7042,2025-06-01,2025-06-15,paid,paid,card,2025-06-10,2340.0,2340.0,0.0,0,0,false
A1021,S6024,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,8,0.0,500.0,NA / smb,I7096,2025-06-01,2025-06-15,paid,paid,ach,2025-06-09,500.0,500.0,0.0,0,0,false
A1072,S6081,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,20,10.0,2025.0,NA / enterprise,I7342,2025-01-01,2025-01-15,paid,paid,wire,2025-01-07,26800.0,26800.0,0.0,0,0,false
A1077,S6088,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,15,0.0,1500.0,NA / mid_market,I7370,2025-06-01,2025-06-15,paid,paid,ach,2025-06-12,1500.0,1500.0,0.0,0,0,false
A1017,S6020,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,11,10.0,1350.0,EMEA / mid_market,I7078,2025-06-01,2025-06-15,paid,paid,card,2025-06-11,1620.0,1620.0,0.0,0,0,false
A1023,S6026,P5001,Starter Monthly,starter,monthly,standard,active,2025-02-01,,10,20.0,400.0,NA / smb,I7105,2025-06-01,2025-06-15,past_due,failed,card,2025-06-18,400.0,0.0,400.0,1,1,true
A1044,S6052,P5002,Growth Monthly,growth,monthly,priority,active,2025-05-01,,6,0.0,1500.0,EMEA / smb,I7218,2025-06-01,2025-06-15,paid,paid,card,2025-06-14,1800.0,1800.0,0.0,0,0,false
A1073,S6083,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-04-01,,13,0.0,2600.0,EMEA / mid_market,I7348,2025-06-01,2025-06-15,paid,paid,card,2025-06-10,3120.0,3120.0,0.0,0,0,false
A1080,S6091,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,11,0.0,1500.0,EMEA / mid_market,I7381,2025-06-01,2025-06-15,paid,paid,card,2025-06-12,1800.0,1800.0,0.0,0,0,false
A1086,S6098,P5001,Starter Monthly,starter,monthly,standard,active,2025-03-01,,6,0.0,500.0,EMEA / smb,I7412,2025-06-01,2025-06-15,paid,paid,card,2025-06-07,600.0,600.0,0.0,0,0,false
A1024,S6027,P5001,Starter Monthly,starter,monthly,standard,active,2025-02-01,,5,0.0,500.0,NA / smb,I7110,2025-06-01,2025-06-15,paid,paid,ach,2025-06-12,500.0,500.0,0.0,0,0,false
A1035,S6039,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-04-01,,15,0.0,2600.0,EMEA / mid_market,I7168,2025-06-01,2025-06-15,paid,paid,card,2025-06-05,3120.0,3120.0,0.0,0,0,false
A1058,S6066,P5001,Starter Monthly,starter,monthly,standard,active,2025-02-01,,9,0.0,500.0,EMEA / smb,I7271,2025-06-01,2025-06-15,paid,paid,card,2025-06-10,600.0,600.0,0.0,0,0,false
A1001,S6001,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,10,0.0,1500.0,EMEA / mid_market,I7006,2025-06-01,2025-06-15,paid,paid,wire,2025-06-06,1800.0,1800.0,0.0,0,0,false
A1028,S6031,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,14,0.0,2600.0,APAC / mid_market,I7134,2025-06-01,2025-06-15,open,,,,2834.0,0.0,2834.0,0,1,false
A1054,S6062,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,14,5.0,2470.0,APAC / mid_market,I7254,2025-06-01,2025-06-15,paid,paid,card,2025-06-08,2717.0,2717.0,0.0,0,0,false
A1059,S6068,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-04-01,,11,20.0,2080.0,NA / mid_market,I7277,2025-06-01,2025-06-15,paid,paid,ach,2025-06-05,2080.0,2080.0,0.0,0,0,false
A1066,S6075,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-02-01,,15,0.0,2600.0,APAC / mid_market,I7316,2025-06-01,2025-06-15,open,,,,2860.0,0.0,2860.0,0,1,false
A1067,S6076,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,8,0.0,1500.0,NA / mid_market,I7322,2025-06-01,2025-06-15,paid,paid,card,2025-06-11,1500.0,1500.0,0.0,0,0,false
A1071,S6080,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,16,20.0,2080.0,NA / mid_market,I7341,2025-06-01,2025-06-15,open,,,,2080.0,0.0,2080.0,0,1,false
A1079,S6090,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,22,20.0,1800.0,EMEA / enterprise,I7375,2025-01-01,2025-01-15,paid,paid,ach,2025-01-13,25920.0,25920.0,0.0,0,0,false
A1007,S6009,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,5,0.0,500.0,EMEA / smb,I7030,2025-06-01,2025-06-15,open,,,,600.0,0.0,600.0,0,1,false
A1012,S6015,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,8,0.0,500.0,APAC / smb,I7057,2025-06-01,2025-06-15,paid,failed,wire,2025-06-15,550.0,550.0,0.0,0,0,false
A1013,S6016,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,7,5.0,1425.0,NA / mid_market,I7063,2025-06-01,2025-06-15,paid,paid,ach,2025-06-14,1425.0,1425.0,0.0,0,0,false
A1031,S6034,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,13,0.0,1500.0,APAC / mid_market,I7148,2025-06-01,2025-06-15,paid,paid,card,2025-06-14,1650.0,1650.0,0.0,0,0,false
A1056,S6064,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,11,0.0,1500.0,APAC / mid_market,I7265,2025-06-01,2025-06-15,paid,paid,wire,2025-06-12,1650.0,1650.0,0.0,0,0,false
A1057,S6065,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,13,20.0,1800.0,APAC / enterprise,I7266,2025-01-01,2025-01-15,paid,paid,wire,2025-01-09,23760.0,23760.0,0.0,0,0,false
A1076,S6087,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,16,0.0,1500.0,EMEA / mid_market,I7364,2025-06-01,2025-06-15,paid,paid,card,2025-06-11,1800.0,1800.0,0.0,0,0,false
A1006,S6008,P5002,Growth Monthly,growth,monthly,priority,active,2025-05-01,,8,20.0,1200.0,EMEA / mid_market,I7024,2025-06-01,2025-06-15,paid,paid,card,2025-06-07,1440.0,1440.0,0.0,0,0,false
A1025,S6028,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,8,20.0,400.0,EMEA / smb,I7116,2025-06-01,2025-06-15,paid,paid,wire,2025-06-09,480.0,480.0,0.0,0,0,false
A1038,S6043,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,6,0.0,500.0,APAC / smb,I7184,2025-06-01,2025-06-15,paid,paid,card,2025-06-12,550.0,550.0,0.0,0,0,false
A1047,S6055,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,20,5.0,2137.5,APAC / enterprise,I7226,2025-01-01,2025-01-15,paid,paid,card,2025-01-07,28215.0,28215.0,0.0,0,0,false
A1074,S6085,P5002,Growth Monthly,growth,monthly,priority,active,2025-05-01,,14,10.0,1350.0,NA / mid_market,I7354,2025-06-01,2025-06-15,paid,paid,card,2025-06-09,1350.0,1350.0,0.0,0,0,false
A1082,S6093,P5001,Starter Monthly,starter,monthly,standard,canceled,2025-01-01,2025-04-30,9,0.0,500.0,NA / mid_market,I7391,2025-04-01,2025-04-15,paid,failed,ach,2025-04-15,500.0,500.0,0.0,0,0,false
A1026,S6029,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,9,20.0,400.0,NA / smb,I7122,2025-06-01,2025-06-15,paid,paid,ach,2025-06-13,400.0,400.0,0.0,0,0,false
A1037,S6042,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-05-01,,22,0.0,2600.0,EMEA / enterprise,I7178,2025-06-01,2025-06-15,paid,paid,ach,2025-06-14,3120.0,3120.0,0.0,0,0,false
A1042,S6049,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,13,0.0,1500.0,APAC / mid_market,I7206,2025-06-01,2025-06-15,paid,paid,wire,2025-06-08,1650.0,1650.0,0.0,0,0,false
A1061,S6070,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-03-01,,20,5.0,2470.0,EMEA / enterprise,I7287,2025-06-01,2025-06-15,paid,paid,wire,2025-06-08,2964.0,2964.0,0.0,0,0,false
A1064,S6073,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,5,20.0,400.0,NA / smb,I7305,2025-06-01,2025-06-15,paid,paid,ach,2025-06-13,400.0,400.0,0.0,0,0,false
A1010,S6013,P5001,Starter Monthly,starter,monthly,standard,active,2025-03-01,,10,20.0,400.0,NA / smb,I7046,2025-06-01,2025-06-15,paid,paid,ach,2025-06-07,400.0,400.0,0.0,0,0,false
A1033,S6036,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,13,0.0,1500.0,NA / mid_market,I7158,2025-06-01,2025-06-15,paid,paid,ach,2025-06-05,1500.0,1500.0,0.0,0,0,false
A1046,S6054,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,5,20.0,1200.0,NA / smb,I7225,2025-06-01,2025-06-15,paid,paid,ach,2025-06-07,1200.0,1200.0,0.0,0,0,false
A1051,S6059,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,7,0.0,1500.0,EMEA / smb,I7236,2025-06-01,2025-06-15,paid,paid,card,2025-06-11,1800.0,1800.0,0.0,0,0,false
A1003,S6004,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,18,5.0,2137.5,NA / enterprise,I7012,2025-01-01,2025-01-15,paid,paid,wire,2025-01-11,27650.0,27650.0,0.0,0,0,false
A1027,S6030,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,6,0.0,500.0,APAC / smb,I7128,2025-06-01,2025-06-15,paid,paid,card,2025-06-14,545.0,545.0,0.0,0,0,false
A1032,S6035,P5002,Growth Monthly,growth,monthly,priority,canceled,2025-01-01,2025-04-30,7,0.0,1500.0,EMEA / mid_market,I7152,2025-04-01,2025-04-15,paid,paid,card,2025-04-09,1800.0,1800.0,0.0,0,0,false
A1034,S6037,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,8,0.0,500.0,NA / smb,I7164,2025-06-01,2025-06-15,paid,paid,ach,2025-06-13,500.0,500.0,0.0,0,0,false
A1040,S6046,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-05-01,,15,0.0,2600.0,APAC / mid_market,I7194,2025-06-01,2025-06-15,paid,paid,card,2025-06-08,2834.0,2834.0,0.0,0,0,false
A1041,S6048,P5002,Growth Monthly,growth,monthly,priority,active,2025-05-01,,15,0.0,1500.0,EMEA / mid_market,I7200,2025-06-01,2025-06-15,paid,paid,wire,2025-06-11,1800.0,1800.0,0.0,0,0,false
A1049,S6057,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,25,10.0,2025.0,NA / enterprise,I7228,2025-01-01,2025-01-15,paid,paid,ach,2025-01-07,25800.0,25800.0,0.0,0,0,false
A1065,S6074,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,13,0.0,1500.0,NA / mid_market,I7311,2025-06-01,2025-06-15,paid,paid,ach,2025-06-11,1500.0,1500.0,0.0,0,0,false
A1088,S6100,P5001,Starter Monthly,starter,monthly,standard,active,2025-03-01,,8,0.0,500.0,APAC / smb,I7420,2025-06-01,2025-06-15,paid,paid,wire,2025-06-09,550.0,550.0,0.0,0,0,false
A1004,S6005,P5001,Starter Monthly,starter,monthly,standard,canceled,2025-01-01,2025-05-31,14,0.0,500.0,NA / enterprise,I7017,2025-05-01,2025-05-15,paid,paid,ach,2025-05-08,500.0,500.0,0.0,0,0,false
A1030,S6033,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,14,5.0,2470.0,EMEA / enterprise,I7144,2025-06-01,2025-06-15,paid,paid,wire,2025-06-14,2964.0,2964.0,0.0,0,0,false
A1039,S6044,P5001,Starter Monthly,starter,monthly,standard,active,2025-03-01,,8,0.0,500.0,EMEA / smb,I7188,2025-06-01,2025-06-15,paid,paid,card,2025-06-11,600.0,600.0,0.0,0,0,false
A1043,S6050,P5003,Enterprise Monthly,enterprise,monthly,premium,active,2025-01-01,,21,0.0,2600.0,APAC / enterprise,I7212,2025-06-01,2025-06-15,paid,paid,wire,2025-06-08,2834.0,2834.0,0.0,0,0,false
A1045,S6053,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-01-01,,17,5.0,2137.5,NA / enterprise,I7219,2025-01-01,2025-01-15,paid,paid,wire,2025-01-10,25650.0,25650.0,0.0,0,0,false
A1048,S6056,P5004,Enterprise Annual,enterprise,annual,premium,active,2025-03-01,,18,10.0,2025.0,APAC / enterprise,I7227,2025-03-01,2025-03-15,paid,paid,ach,2025-03-07,26730.0,26730.0,0.0,0,0,false
A1090,S6102,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,5,0.0,500.0,NA / smb,I7432,2025-06-01,2025-06-15,paid,paid,card,2025-06-14,500.0,500.0,0.0,0,0,false
A1014,S6017,P5002,Growth Monthly,growth,monthly,priority,canceled,2025-01-01,2025-04-30,23,0.0,1500.0,APAC / enterprise,I7067,2025-04-01,2025-04-15,paid,paid,wire,2025-04-14,1635.0,1635.0,0.0,0,0,false
A1019,S6022,P5001,Starter Monthly,starter,monthly,standard,active,2025-03-01,,5,20.0,400.0,APAC / smb,I7086,2025-06-01,2025-06-15,paid,paid,card,2025-06-11,440.0,440.0,0.0,0,0,false
A1020,S6023,P5002,Growth Monthly,growth,monthly,priority,active,2025-03-01,,5,0.0,1500.0,EMEA / smb,I7090,2025-06-01,2025-06-15,paid,paid,wire,2025-06-08,1800.0,1800.0,0.0,0,0,false
A1050,S6058,P5001,Starter Monthly,starter,monthly,standard,active,2025-03-01,,5,0.0,500.0,APAC / smb,I7232,2025-06-01,2025-06-15,paid,paid,card,2025-06-12,550.0,550.0,0.0,0,0,false
A1060,S6069,P5002,Growth Monthly,growth,monthly,priority,active,2025-01-01,,15,0.0,1500.0,NA / mid_market,I7283,2025-06-01,2025-06-15,past_due,failed,ach,2025-06-22,1500.0,0.0,1500.0,1,1,true
A1070,S6079,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,10,0.0,500.0,APAC / smb,I7335,2025-06-01,2025-06-15,paid,paid,card,2025-06-10,550.0,550.0,0.0,0,0,false
A1075,S6086,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,10,0.0,500.0,EMEA / smb,I7360,2025-06-01,2025-06-15,paid,paid,wire,2025-06-10,600.0,600.0,0.0,0,0,false
A1029,S6032,P5001,Starter Monthly,starter,monthly,standard,canceled,2025-01-01,2025-04-30,17,5.0,475.0,APAC / enterprise,I7138,2025-04-01,2025-04-15,paid,paid,ach,2025-04-13,522.5,522.5,0.0,0,0,false
A1063,S6072,P5001,Starter Monthly,starter,monthly,standard,active,2025-01-01,,5,20.0,400.0,NA / smb,I7299,2025-06-01,2025-06-15,open,,,,400.0,0.0,400.0,0,1,false
