account_id,workspace_count,active_workspace_count,prod_workspace_count,sandbox_workspace_count,primary_workspace_count,primary_workspace_name,first_workspace_created_at,latest_workspace_created_at
A1050,2,2,1,1,1,cedar-core,2025-02-22 05:48:30,2025-02-28 11:48:30
A1060,2,2,1,1,1,cedar-core,2024-11-09 13:41:46,2024-11-11 08:41:46
A1070,1,1,1,0,1,helio-core,2024-11-09 18:20:27,2024-11-09 18:20:27
A1075,1,1,1,0,1,cedar-core,2024-11-08 20:31:13,2024-11-08 20:31:13
A1024,2,2,2,0,1,sierra-core,2025-02-04 03:59:07,2025-02-11 05:59:07
A1035,3,3,2,1,1,bright-core,2025-03-01 08:06:57,2025-03-10 08:06:57
A1058,2,2,2,0,1,evergreen-core,2025-01-19 17:52:12,2025-01-30 19:52:12
A1009,2,2,2,0,1,summit-core,2024-09-02 12:22:46,2024-09-11 10:22:46
A1021,1,1,1,0,1,apex-core,2024-10-27 09:34:29,2024-10-27 09:34:29
A1072,3,3,2,1,1,summit-core,2024-10-08 22:18:23,2024-10-20 20:18:23
A1077,3,3,3,0,1,evergreen-core,2024-09-13 19:41:36,2024-09-24 19:41:36
A1026,1,1,1,0,1,pioneer-core,2024-09-01 22:38:17,2024-09-01 22:38:17
A1037,4,4,2,2,1,lighthouse-core,2024-11-29 01:24:43,2024-12-19 23:24:43
A1042,3,3,2,1,1,northwind-core,2024-09-30 04:52:42,2024-10-14 01:52:42
A1061,3,3,2,1,1,atlas-core,2025-02-20 18:52:24,2025-02-26 18:52:24
A1064,1,1,1,0,1,atlas-core,2024-08-31 17:39:22,2024-08-31 17:39:22
A1007,1,1,1,0,1,silver-core,2024-12-27 07:20:12,2024-12-27 07:20:12
A1012,2,2,1,1,1,cedar-core,2024-08-29 02:09:23,2024-09-04 00:09:23
A1013,3,3,3,0,1,river-core,2025-01-06 01:56:58,2025-01-28 00:56:58
A1031,3,3,3,0,1,helio-core,2025-02-23 19:18:16,2025-03-11 22:18:16
A1056,3,3,3,0,1,delta-core,2024-11-28 23:04:51,2024-12-14 18:04:51
A1057,4,4,3,1,1,harbor-core,2024-10-28 02:01:31,2024-11-17 22:01:31
A1076,2,2,2,0,1,atlas-core,2025-02-26 17:32:44,2025-02-28 15:32:44
A1022,2,2,1,1,1,summit-core,2025-02-23 12:16:56,2025-03-04 05:16:56
A1068,4,4,3,1,1,helio-core,2024-08-18 06:36:33,2024-09-11 04:36:33
A1083,2,2,1,1,1,falcon-core,2025-01-11 22:17:30,2025-01-19 22:17:30
