workspace_id,account_id,workspace_name,created_at,workspace_status,deactivated_at,environment_tier,is_primary,is_active_workspace,raw_load_epoch
W2053,A1027,bluepeak-ops,2024-11-06 02:12:59,active,,prod,false,true,1731118379
W2054,A1028,apex-core,2024-12-31 04:17:07,active,,prod,true,true,1735964227
W2055,A1028,apex-ops,2025-01-02 08:17:07,active,,sandbox,false,true,1735805827
W2056,A1029,bright-core,2024-09-09 03:24:19,archived,2025-04-12 10:00:00,prod,true,false,1726111459
W2057,A1030,northwind-core,2024-08-30 07:49:08,active,,prod,true,true,1725263348.0
W2058,A1030,northwind-ops,2024-09-10 06:49:08,active,,prod,false,true,1726210148.0
W2059,A1030,northwind-finance,2024-09-11 11:49:08,active,,prod,false,true,1726141748
W2060,A1030,northwind-marketing,2024-09-05 11:49:08,active,,prod,false,true,1725796148
W2061,A1031,helio-core,2025-02-23 06:18:16,active,,prod,true,true,1740723496.0
W2062,A1031,helio-ops,2025-03-02 09:18:16,active,,prod,false,true,1741079896
W2063,A1031,helio-finance,2025-03-11 09:18:16,active,,prod,false,true,1742030296.0
W2064,A1032,vertex-core,2024-09-20 20:25:27,archived,2025-04-12 14:00:00,prod,true,false,1727036727
W2065,A1032,vertex-ops,2024-10-01 17:25:27,archived,2025-05-05 18:00:00,prod,false,false,1728062727.0
W2066,A1033,lighthouse-core,2024-10-20 07:50:01,active,,prod,true,true,1729583401
W2067,A1033,lighthouse-ops,2024-10-29 11:50:01,active,,prod,false,true,1730289001
W2068,A1034,helio-core,2024-12-05 23:59:06,active,,prod,true,true,1733788746.0
W2069,A1034,helio-ops,2024-12-10 22:59:06,active,,sandbox,false,true,1734217146
W2070,A1035,bright-core,2025-02-28 19:06:57,active,,prod,true,true,1741115217
W2071,A1035,bright-ops,2025-03-09 19:06:57,active,,sandbox,false,true,1741892817
W2072,A1035,bright-finance,2025-03-06 23:06:57,active,,prod,false,true,1741648017
W2073,A1036,granite-core,2024-12-25 14:14:31,archived,2025-05-20 10:00:00,prod,true,false,1735395271
W2074,A1036,granite-ops,2025-01-03 16:14:31,archived,2025-05-05 14:00:00,sandbox,false,false,1736352871.0
W2075,A1037,lighthouse-core,2024-11-28 12:24:43,active,,prod,true,true,1732969483
W2076,A1037,lighthouse-ops,2024-12-08 11:24:43,active,,prod,false,true,1733743483.0
W2077,A1037,lighthouse-finance,2024-12-14 06:24:43,active,,sandbox,false,true,1734157483.0
W2078,A1037,lighthouse-marketing,2024-12-19 10:24:43,active,,sandbox,false,true,1735035883
W2079,A1038,river-core,2024-11-24 13:09:31,active,,prod,true,true,1732453771
W2080,A1038,river-ops,2024-12-05 18:09:31,active,,prod,false,true,1733681371
W2081,A1039,nova-core,2025-02-16 18:26:48,active,,prod,true,true,1739816808
W2082,A1040,harbor-core,2024-12-16 18:58:20,active,,prod,true,true,1734807500
W2083,A1040,harbor-ops,2024-12-18 12:58:20,active,,sandbox,false,true,1734785900.0
W2084,A1040,harbor-finance,2024-12-22 15:58:20,active,,prod,false,true,1735142300
W2085,A1041,cedar-core,2024-08-08 01:07:41,active,,prod,true,true,1723079261
W2086,A1041,cedar-ops,2024-08-18 00:07:41,active,,sandbox,false,true,1724371661
W2087,A1041,cedar-finance,2024-08-23 19:07:41,active,,prod,false,true,1724785661
W2088,A1042,northwind-core,2024-09-29 15:52:42,active,,prod,true,true,1727797962.0
W2089,A1042,northwind-ops,2024-10-06 14:52:42,active,,sandbox,false,true,1728658362
W2090,A1042,northwind-finance,2024-10-13 12:52:42,active,,prod,false,true,1728910362
W2091,A1043,lighthouse-core,2024-10-27 19:03:18,active,,prod,true,true,1730401398
W2092,A1043,lighthouse-ops,2024-11-02 17:03:18,active,,sandbox,false,true,1730739798
W2093,A1043,lighthouse-finance,2024-11-14 15:03:18,active,,prod,false,true,1731942198.0
W2094,A1043,lighthouse-marketing,2024-11-29 14:03:18,active,,prod,false,true,1732975398
W2095,A1044,summit-core,2024-10-06 02:32:29,active,,prod,true,true,1728527549.0
W2096,A1045,nova-core,2024-11-09 17:05:10,active,,prod,true,true,1731171910
W2097,A1045,nova-ops,2024-11-14 12:05:10,active,,prod,false,true,1731672310
W2098,A1045,nova-finance,2024-11-17 09:05:10,active,,prod,false,true,1732007110
W2099,A1045,nova-marketing,2024-11-21 11:05:10,active,,prod,false,true,1732187110
W2100,A1046,pioneer-core,2024-10-20 12:09:12,active,,prod,true,true,1729598952
W2101,A1047,orchid-core,2024-10-21 05:06:00,active,,prod,true,true,1729573560
W2102,A1047,orchid-ops,2024-10-27 00:06:00,active,,sandbox,false,true,1730419560.0
W2103,A1047,orchid-finance,2024-10-27 01:06:00,active,,prod,false,true,1730163960.0
W2104,A1048,orchid-core,2025-02-20 21:00:18,active,,prod,true,true,1740171618
W2105,A1048,orchid-ops,2025-02-25 20:00:18,active,,prod,false,true,1740686418
W2106,A1048,orchid-finance,2025-03-13 00:00:18,active,,prod,false,true,1742083218
W2107,A1049,northwind-core,2024-11-13 09:19:33,active,,prod,true,true,1731575973
W2108,A1049,northwind-ops,2024-11-21 03:19:33,active,,prod,false,true,1732591173
W2109,A1049,northwind-finance,2024-12-01 03:19:33,active,,prod,false,true,1733368773.0
W2110,A1050,cedar-core,2025-02-21 16:48:30,active,,prod,true,true,1740242910
W2111,A1050,cedar-ops,2025-02-27 22:48:30,active,,sandbox,false,true,1741042110
W2112,A1051,lighthouse-core,2025-03-08 06:44:10,active,,prod,true,true,1741502650
W2113,A1052,sierra-core,2024-12-10 22:54:21,active,,prod,true,true,1734044061.0
W2114,A1052,sierra-ops,2024-12-14 05:54:21,active,,prod,false,true,1734414861
W2115,A1053,bright-core,2024-09-23 17:24:29,active,,prod,true,true,1727544269
W2116,A1053,bright-ops,2024-10-01 15:24:29,active,,prod,false,true,1727969069.0
W2117,A1053,bright-finance,2024-10-09 16:24:29,active,,prod,false,true,1728491069
W2118,A1054,granite-core,2024-08-07 08:47:01,active,,prod,true,true,1723020421
W2119,A1054,granite-ops,2024-08-14 05:47:01,active,,prod,false,true,1723960021
W2120,A1054,granite-finance,2024-08-25 04:47:01,active,,prod,false,true,1724906821
W2121,A1055,pioneer-core,2025-01-21 19:44:38,active,,prod,true,true,1737834278.0
W2122,A1055,pioneer-ops,2025-01-28 15:44:38,active,,sandbox,false,true,1738338278.0
W2123,A1056,delta-core,2024-11-28 10:04:51,active,,prod,true,true,1732874691
W2124,A1056,delta-ops,2024-12-06 10:04:51,active,,prod,false,true,1733565891
W2125,A1056,delta-finance,2024-12-14 05:04:51,active,,prod,false,true,1734411891
W2126,A1057,harbor-core,2024-10-27 13:01:31,active,,prod,true,true,1730379691.0
W2127,A1057,harbor-ops,2024-11-06 11:01:31,active,,sandbox,false,true,1731150091.0
W2128,A1057,harbor-finance,2024-11-02 13:01:31,active,,prod,false,true,1730811691
W2129,A1057,harbor-marketing,2024-11-17 09:01:31,active,,prod,false,true,1731834091
W2130,A1058,evergreen-core,2025-01-19 04:52:12,active,,prod,true,true,1737607932
W2131,A1058,evergreen-ops,2025-01-30 06:52:12,active,,prod,false,true,1738651932
W2132,A1059,evergreen-core,2024-10-02 09:27:52,active,,prod,true,true,1727861272
W2133,A1059,evergreen-ops,2024-10-08 12:27:52,active,,sandbox,false,true,1728390472
W2134,A1060,cedar-core,2024-11-09 00:41:46,active,,prod,true,true,1731285706
W2135,A1060,cedar-ops,2024-11-10 19:41:46,active,,sandbox,false,true,1731526906.0
W2136,A1061,atlas-core,2025-02-20 05:52:24,active,,prod,true,true,1740462744
W2137,A1061,atlas-ops,2025-02-26 05:52:24,active,,sandbox,false,true,1740549144
W2138,A1061,atlas-finance,2025-02-26 00:52:24,active,,prod,false,true,1740531144
W2139,A1062,delta-core,2024-11-19 16:50:25,active,,prod,true,true,1732467025.0
W2140,A1062,delta-ops,2024-11-27 22:50:25,active,,prod,false,true,1732920625.0
W2141,A1062,delta-finance,2024-12-05 19:50:25,active,,prod,false,true,1733687425
W2142,A1063,maple-core,2024-11-23 17:34:06,active,,prod,true,true,1732815246.0
W2143,A1064,atlas-core,2024-08-31 05:39:22,active,,prod,true,true,1725341962.0
W2144,A1065,vertex-core,2025-01-04 09:11:13,active,,prod,true,true,1735981873
W2145,A1065,vertex-ops,2025-01-15 06:11:13,active,,prod,false,true,1737007873.0
W2146,A1066,pacific-core,2025-01-15 19:33:41,active,,prod,true,true,1737401621
W2147,A1066,pacific-ops,2025-01-21 22:33:41,active,,prod,false,true,1737498821.0
W2148,A1067,maple-core,2025-01-07 02:24:42,active,,prod,true,true,1736475882
W2149,A1067,maple-ops,2025-01-17 03:24:42,active,,sandbox,false,true,1737084282.0
W2150,A1068,helio-core,2024-08-17 18:36:33,active,,prod,true,true,1724351793.0
W2151,A1068,helio-ops,2024-08-19 18:36:33,active,,prod,false,true,1724178993.0
W2152,A1068,helio-finance,2024-08-23 17:36:33,active,,sandbox,false,true,1724866593
W2153,A1068,helio-marketing,2024-09-10 16:36:33,active,,prod,false,true,1726158993
W2154,A1069,bright-core,2024-12-07 05:08:52,active,,prod,true,true,1733807332.0
W2155,A1069,bright-ops,2024-12-18 10:08:52,active,,prod,false,true,1734948532
W2156,A1069,bright-finance,2024-12-21 04:08:52,active,,prod,false,true,1734926932
W2157,A1070,helio-core,2024-11-09 05:20:27,active,,prod,true,true,1731475227
W2158,A1071,evergreen-core,2024-09-05 21:34:10,active,,prod,true,true,1725917650.0
W2159,A1071,evergreen-ops,2024-09-12 18:34:10,active,,prod,false,true,1726338850.0
W2160,A1071,evergreen-finance,2024-09-13 16:34:10,active,,sandbox,false,true,1726331650
W2161,A1072,summit-core,2024-10-08 09:18:23,active,,prod,true,true,1728638303
W2162,A1072,summit-ops,2024-10-12 07:18:23,active,,prod,false,true,1728803903
W2163,A1072,summit-finance,2024-10-20 07:18:23,active,,sandbox,false,true,1729495103
W2164,A1073,silver-core,2024-11-10 19:21:51,active,,prod,true,true,1731698511
W2165,A1073,silver-ops,2024-11-21 19:21:51,active,,prod,false,true,1732562511.0
W2166,A1074,granite-core,2024-08-21 04:20:24,active,,prod,true,true,1724559624
W2167,A1074,granite-ops,2024-08-28 01:20:24,active,,prod,false,true,1725067224.0
W2168,A1074,granite-finance,2024-09-08 06:20:24,active,,prod,false,true,1726035624.0
W2169,A1075,cedar-core,2024-11-08 07:31:13,active,,prod,true,true,1731223873
W2170,A1076,atlas-core,2025-02-26 04:32:44,active,,prod,true,true,1740976364
W2171,A1076,atlas-ops,2025-02-28 02:32:44,active,,prod,false,true,1740882764.0
W2172,A1077,evergreen-core,2024-09-13 07:41:36,active,,prod,true,true,1726213296
W2173,A1077,evergreen-ops,2024-09-24 07:41:36,active,,prod,false,true,1727163696
W2174,A1077,evergreen-finance,2024-09-17 06:41:36,active,,prod,false,true,1726814496
W2175,A1078,beacon-core,2025-03-08 05:08:06,active,,prod,true,true,1741410486.0
W2176,A1078,beacon-ops,2025-03-18 02:08:06,active,,prod,false,true,1742609286
W2177,A1078,beacon-finance,2025-03-26 01:08:06,active,,prod,false,true,1743037686.0
W2178,A1079,nova-core,2024-09-09 23:45:24,active,,prod,true,true,1726271124
W2179,A1079,nova-ops,2024-09-11 18:45:24,active,,prod,false,true,1726339524
W2180,A1079,nova-finance,2024-09-27 23:45:24,active,,prod,false,true,1727480724
W2181,A1079,nova-marketing,2024-09-21 20:45:24,active,,prod,false,true,1727210724.0
W2182,A1080,beacon-core,2024-08-17 09:30:12,active,,prod,true,true,1724059812
W2183,A1080,beacon-ops,2024-08-28 03:30:12,active,,prod,false,true,1724902212
W2184,A1081,river-core,2024-11-23 19:36:21,active,,prod,true,true,1732390581
W2185,A1081,river-ops,2024-12-01 18:36:21,active,,sandbox,false,true,1733250981
W2186,A1081,river-finance,2024-12-15 16:36:21,active,,prod,false,true,1734366981
W2187,A1082,summit-core,2024-11-23 01:18:31,archived,2025-04-05 14:00:00,prod,true,false,1732756711.0
W2188,A1083,falcon-core,2025-01-11 09:17:30,active,,prod,true,true,1737019050
W2189,A1083,falcon-ops,2025-01-19 09:17:30,active,,sandbox,false,true,1737537450
W2190,A1084,silver-core,2024-12-10 16:11:54,active,,prod,true,true,1733933514
W2191,A1084,silver-ops,2024-12-19 14:11:54,active,,prod,false,true,1734876714
W2192,A1085,sierra-core,2024-09-19 11:19:51,active,,prod,true,true,1726744791
W2193,A1086,river-core,2025-02-23 01:58:12,active,,prod,true,true,1740707892
W2194,A1087,apex-core,2024-12-02 11:20:17,archived,2025-05-12 10:00:00,prod,true,false,1733397617.0
W2195,A1088,cedar-core,2025-02-17 22:19:15,active,,prod,true,true,1740176355
W2196,A1089,beacon-core,2024-11-13 08:16:08,active,,prod,true,true,1731744968
W2197,A1089,beacon-ops,2024-11-22 04:16:08,active,,prod,false,true,1732508168.0
W2198,A1090,vertex-core,2024-10-03 01:37:20,active,,prod,true,true,1728351440
