ticket_id,account_id,account_name,segment,region,billing_country,plan_name,plan_family,support_tier,workspace_id,workspace_name,environment_tier,opened_by_user_id,opened_at,first_response_at,resolved_at,priority,category,ticket_status,csat_score,first_response_minutes,resolution_minutes,response_sla_minutes,met_response_sla,is_open_ticket,ticket_age_days,opened_month,resolved_month
T10028,A1006,Helio Works,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2016,helio-ops,prod,U3067,2025-04-01 23:05:01,2025-04-01 23:35:01,2025-04-02 03:24:01,high,performance,resolved,3,30,259,60,true,false,1,2025-04-01,2025-04-01
T10029,A1006,Helio Works,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2015,helio-core,prod,U3072,2025-04-12 15:58:29,2025-04-12 16:43:29,2025-04-12 23:25:29,high,data_freshness,resolved,4,45,447,60,true,false,0,2025-04-01,2025-04-01
T10030,A1007,Silver Systems,smb,EMEA,FR,Starter Monthly,starter,standard,W2017,silver-core,prod,U3075,2025-06-11 14:12:02,2025-06-12 03:37:02,2025-06-13 07:22:02,low,billing,resolved,5,805,2470,1440,true,false,2,2025-06-01,2025-06-01
T10031,A1007,Silver Systems,smb,EMEA,FR,Starter Monthly,starter,standard,W2017,silver-core,prod,U3077,2025-05-13 16:48:58,2025-05-13 22:47:58,2025-05-14 05:11:58,low,api_limit,resolved,5,359,743,1440,true,false,1,2025-05-01,2025-05-01
T10032,A1007,Silver Systems,smb,EMEA,FR,Starter Monthly,starter,standard,W2017,silver-core,prod,U3074,2025-04-09 06:03:21,2025-04-09 07:40:21,2025-04-11 18:46:21,medium,api_limit,resolved,4,97,3643,240,true,false,2,2025-04-01,2025-04-01
T10034,A1008,Pacific Works,mid_market,EMEA,UK,Enterprise Monthly,enterprise,premium,W2019,pacific-ops,prod,U3080,2025-04-11 20:56:04,2025-04-12 11:14:04,2025-04-15 06:24:04,low,dashboard_filter,resolved,2,858,4888,1440,true,false,4,2025-04-01,2025-04-01
T10035,A1008,Pacific Works,mid_market,EMEA,UK,Enterprise Monthly,enterprise,premium,W2019,pacific-ops,prod,U3082,2025-06-16 17:07:42,2025-06-16 17:51:42,2025-06-17 16:17:42,high,data_freshness,resolved,5,44,1390,60,true,false,1,2025-06-01,2025-06-01
T10036,A1009,Summit Group,mid_market,NA,US,Enterprise Monthly,enterprise,premium,W2021,summit-core,prod,U3094,2025-06-21 06:57:59,2025-06-21 07:27:59,2025-06-21 15:19:59,high,api_limit,resolved,4,30,502,60,true,false,0,2025-06-01,2025-06-01
T10037,A1009,Summit Group,mid_market,NA,US,Enterprise Monthly,enterprise,premium,W2022,summit-ops,prod,U3089,2025-04-17 21:35:42,2025-04-17 21:45:42,2025-04-18 17:38:42,urgent,sso,resolved,4,10,1203,30,true,false,1,2025-04-01,2025-04-01
T10038,A1009,Summit Group,mid_market,NA,US,Enterprise Monthly,enterprise,premium,W2021,summit-core,prod,U3092,2025-04-12 12:49:41,2025-04-12 13:32:41,2025-04-14 10:16:41,urgent,permissions,resolved,4,43,2727,30,false,false,2,2025-04-01,2025-04-01
T10039,A1010,Orchid Foods,smb,NA,CA,Starter Monthly,starter,standard,W2023,orchid-core,prod,U3104,2025-04-01 13:32:52,2025-04-01 13:55:52,2025-04-02 08:42:52,urgent,sso,resolved,2,23,1150,30,true,false,1,2025-04-01,2025-04-01
T10040,A1010,Orchid Foods,smb,NA,CA,Starter Monthly,starter,standard,W2023,orchid-core,prod,U3109,2025-05-12 15:02:51,2025-05-12 15:51:51,2025-05-15 07:57:51,high,api_limit,resolved,4,49,3895,60,true,false,3,2025-05-01,2025-05-01
T10041,A1011,Vertex Energy,smb,NA,CA,Growth Monthly,growth,priority,W2024,vertex-core,prod,U3114,2025-04-02 09:20:47,2025-04-02 18:09:47,2025-04-04 12:00:47,low,data_freshness,resolved,5,529,3040,1440,true,false,2,2025-04-01,2025-04-01
T10042,A1011,Vertex Energy,smb,NA,CA,Growth Monthly,growth,priority,W2024,vertex-core,prod,U3113,2025-05-09 08:02:44,2025-05-09 18:50:44,,low,permissions,in_progress,,648,,1440,true,true,319,2025-05-01,
T10043,A1011,Vertex Energy,smb,NA,CA,Growth Monthly,growth,priority,W2024,vertex-core,prod,U3115,2025-04-16 13:02:29,2025-04-16 16:50:29,2025-04-18 12:24:29,medium,data_freshness,resolved,5,228,2842,240,true,false,2,2025-04-01,2025-04-01
T10044,A1012,Cedar Ventures,smb,APAC,JP,Starter Monthly,starter,standard,W2025,cedar-core,prod,U3118,2025-06-17 05:30:52,2025-06-17 05:42:52,2025-06-17 23:29:52,urgent,api_limit,resolved,5,12,1079,30,true,false,0,2025-06-01,2025-06-01
T10045,A1012,Cedar Ventures,smb,APAC,JP,Starter Monthly,starter,standard,W2026,cedar-ops,sandbox,U3122,2025-04-26 06:55:37,2025-04-26 08:05:37,2025-04-27 21:13:37,high,model_error,resolved,5,70,2298,60,false,false,1,2025-04-01,2025-04-01
T10046,A1012,Cedar Ventures,smb,APAC,JP,Starter Monthly,starter,standard,W2026,cedar-ops,sandbox,U3121,2025-04-12 19:02:54,2025-04-12 21:34:54,2025-04-15 12:02:54,medium,dashboard_filter,resolved,3,152,3900,240,true,false,3,2025-04-01,2025-04-01
T10047,A1013,River Foods,mid_market,NA,US,Growth Monthly,growth,priority,W2029,river-finance,prod,U3128,2025-05-27 20:11:21,2025-05-28 08:21:21,2025-05-31 00:44:21,low,model_error,resolved,5,730,4593,1440,true,false,4,2025-05-01,2025-05-01
T10048,A1013,River Foods,mid_market,NA,US,Growth Monthly,growth,priority,W2027,river-core,prod,U3129,2025-05-16 19:32:36,2025-05-16 20:08:36,2025-05-19 07:19:36,urgent,data_freshness,resolved,5,36,3587,30,false,false,3,2025-05-01,2025-05-01
T10049,A1013,River Foods,mid_market,NA,US,Growth Monthly,growth,priority,W2029,river-finance,prod,U3128,2025-04-29 10:39:24,2025-04-29 11:35:24,2025-05-01 04:07:24,high,model_error,resolved,5,56,2488,60,true,false,2,2025-04-01,2025-05-01
T10050,A1014,Evergreen Global,enterprise,APAC,SG,Growth Monthly,growth,priority,W2030,evergreen-core,prod,U3136,2025-06-11 03:56:59,2025-06-11 06:04:59,2025-06-11 10:52:59,medium,performance,resolved,3,128,416,240,true,false,0,2025-06-01,2025-06-01
T10051,A1014,Evergreen Global,enterprise,APAC,SG,Growth Monthly,growth,priority,W2030,evergreen-core,prod,U3142,2025-05-11 16:41:25,2025-05-11 16:57:25,,high,api_limit,in_progress,,16,,60,true,true,317,2025-05-01,
T10052,A1014,Evergreen Global,enterprise,APAC,SG,Growth Monthly,growth,priority,W2030,evergreen-core,prod,U3147,2025-05-25 00:53:25,2025-05-25 01:27:25,2025-05-26 07:48:25,high,performance,resolved,3,34,1855,60,true,false,1,2025-05-01,2025-05-01
T10053,A1014,Evergreen Global,enterprise,APAC,SG,Growth Monthly,growth,priority,W2030,evergreen-core,prod,U3137,2025-04-22 12:49:22,2025-04-22 14:02:22,2025-04-23 09:07:22,medium,permissions,resolved,5,73,1218,240,true,false,1,2025-04-01,2025-04-01
T10055,A1014,Evergreen Global,enterprise,APAC,SG,Growth Monthly,growth,priority,W2030,evergreen-core,prod,U3147,2025-04-01 09:41:14,2025-04-01 10:07:14,2025-04-03 17:16:14,high,data_freshness,resolved,3,26,3335,60,true,false,2,2025-04-01,2025-04-01
T10056,A1015,Delta Network,smb,NA,US,Growth Monthly,growth,priority,W2032,delta-ops,sandbox,U3149,2025-04-02 02:42:32,2025-04-02 03:04:32,2025-04-03 22:29:32,urgent,api_limit,resolved,5,22,2627,30,true,false,1,2025-04-01,2025-04-01
T10057,A1015,Delta Network,smb,NA,US,Growth Monthly,growth,priority,W2032,delta-ops,sandbox,U3150,2025-06-15 06:58:09,2025-06-15 07:06:09,2025-06-16 13:01:09,urgent,api_limit,resolved,3,8,1803,30,true,false,1,2025-06-01,2025-06-01
T10058,A1015,Delta Network,smb,NA,US,Growth Monthly,growth,priority,W2031,delta-core,prod,U3150,2025-04-08 10:49:31,2025-04-08 13:19:31,2025-04-11 05:29:31,medium,permissions,resolved,5,150,4000,240,true,false,3,2025-04-01,2025-04-01
T10059,A1015,Delta Network,smb,NA,US,Growth Monthly,growth,priority,W2031,delta-core,prod,U3149,2025-04-20 22:40:37,2025-04-21 02:01:37,2025-04-21 06:06:37,medium,dashboard_filter,resolved,4,201,446,240,true,false,1,2025-04-01,2025-04-01
T10060,A1016,BluePeak Capital,enterprise,EMEA,DE,Enterprise Annual,enterprise,premium,W2035,bluepeak-finance,prod,U3153,2025-04-05 01:38:50,2025-04-05 06:27:50,2025-04-05 20:04:50,low,data_freshness,resolved,3,289,1106,1440,true,false,0,2025-04-01,2025-04-01
T10061,A1016,BluePeak Capital,enterprise,EMEA,DE,Enterprise Annual,enterprise,premium,W2033,bluepeak-core,prod,U3152,2025-04-14 20:13:20,2025-04-14 21:24:20,2025-04-17 01:36:20,medium,model_error,resolved,4,71,3203,240,true,false,3,2025-04-01,2025-04-01
T10062,A1016,BluePeak Capital,enterprise,EMEA,DE,Enterprise Annual,enterprise,premium,W2036,bluepeak-marketing,prod,U3157,2025-05-25 02:00:08,2025-05-25 08:19:08,2025-05-26 08:57:08,low,model_error,resolved,4,379,1857,1440,true,false,1,2025-05-01,2025-05-01
T10063,A1016,BluePeak Capital,enterprise,EMEA,DE,Enterprise Annual,enterprise,premium,W2036,bluepeak-marketing,prod,U3165,2025-05-11 20:06:11,2025-05-11 20:15:11,2025-05-13 15:29:11,urgent,permissions,resolved,4,9,2603,30,true,false,2,2025-05-01,2025-05-01
T10065,A1016,BluePeak Capital,enterprise,EMEA,DE,Enterprise Annual,enterprise,premium,W2035,bluepeak-finance,prod,U3156,2025-05-13 06:20:21,2025-05-13 07:45:21,2025-05-13 12:56:21,medium,api_limit,resolved,5,85,396,240,true,false,0,2025-05-01,2025-05-01
T10066,A1017,Summit Analytics,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2038,summit-ops,prod,U3173,2025-05-20 11:33:34,2025-05-20 12:04:34,2025-05-23 10:11:34,high,dashboard_filter,resolved,5,31,4238,60,true,false,3,2025-05-01,2025-05-01
T10067,A1017,Summit Analytics,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2038,summit-ops,prod,U3172,2025-06-07 09:02:39,2025-06-07 10:45:39,2025-06-09 06:09:39,medium,api_limit,resolved,5,103,2707,240,true,false,2,2025-06-01,2025-06-01
T10068,A1017,Summit Analytics,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2038,summit-ops,prod,U3174,2025-04-25 05:30:47,2025-04-25 07:56:47,2025-04-27 00:54:47,medium,performance,resolved,4,146,2604,240,true,false,2,2025-04-01,2025-04-01
T10069,A1017,Summit Analytics,mid_market,EMEA,UK,Growth Monthly,growth,priority,W2038,summit-ops,prod,U3172,2025-06-03 14:32:57,2025-06-03 23:27:57,2025-06-05 00:49:57,low,performance,resolved,4,535,2057,1440,true,false,2,2025-06-01,2025-06-01
T10070,A1018,Harbor Manufacturing,smb,EMEA,UK,Starter Monthly,starter,standard,W2040,harbor-ops,prod,U3179,2025-06-11 00:33:34,2025-06-11 04:32:34,2025-06-12 19:42:34,medium,performance,resolved,3,239,2589,240,true,false,1,2025-06-01,2025-06-01
T10072,A1018,Harbor Manufacturing,smb,EMEA,UK,Starter Monthly,starter,standard,W2039,harbor-core,prod,U3181,2025-05-04 23:09:26,2025-05-05 02:44:26,2025-05-07 07:39:26,medium,permissions,resolved,4,215,3390,240,true,false,3,2025-05-01,2025-05-01
T10073,A1019,Sierra Systems,smb,APAC,JP,Starter Monthly,starter,standard,W2041,sierra-core,prod,U3183,2025-05-26 08:04:59,2025-05-26 10:28:59,,medium,dashboard_filter,open,,144,,240,true,true,302,2025-05-01,
T10074,A1020,Pioneer Network,smb,EMEA,FR,Growth Monthly,growth,priority,W2043,pioneer-core,prod,U3187,2025-05-29 02:05:32,2025-05-29 02:52:32,2025-05-30 04:53:32,high,data_freshness,resolved,5,47,1608,60,true,false,1,2025-05-01,2025-05-01
T10075,A1021,Apex Logistics,smb,NA,US,Starter Monthly,starter,standard,W2044,apex-core,prod,U3196,2025-06-20 04:03:33,2025-06-20 04:24:33,2025-06-22 06:23:33,high,dashboard_filter,resolved,3,21,3020,60,true,false,2,2025-06-01,2025-06-01
T10076,A1021,Apex Logistics,smb,NA,US,Starter Monthly,starter,standard,W2044,apex-core,prod,U3196,2025-04-04 10:26:51,2025-04-04 13:13:51,2025-04-05 03:11:51,medium,performance,resolved,5,167,1005,240,true,false,1,2025-04-01,2025-04-01
T10077,A1022,Summit Collective,smb,APAC,NZ,Growth Monthly,growth,priority,W2045,summit-core,prod,U3200,2025-04-24 09:41:07,2025-04-24 12:01:07,2025-04-25 08:24:07,medium,api_limit,resolved,5,140,1363,240,true,false,1,2025-04-01,2025-04-01
T10078,A1023,Atlas Systems,smb,NA,CA,Starter Monthly,starter,standard,W2047,atlas-core,prod,U3207,2025-05-12 23:02:13,2025-05-13 07:21:13,2025-05-15 02:52:13,low,data_freshness,resolved,4,499,3110,1440,true,false,3,2025-05-01,2025-05-01
T10079,A1023,Atlas Systems,smb,NA,CA,Starter Monthly,starter,standard,W2047,atlas-core,prod,U3203,2025-05-15 18:18:28,2025-05-15 19:05:28,,high,sso,open,,47,,60,true,true,313,2025-05-01,
T10080,A1023,Atlas Systems,smb,NA,CA,Starter Monthly,starter,standard,W2047,atlas-core,prod,U3202,2025-05-05 07:07:39,2025-05-05 07:44:39,2025-05-06 22:46:39,high,performance,resolved,5,37,2379,60,true,false,1,2025-05-01,2025-05-01
T10081,A1024,Sierra Group,smb,NA,CA,Starter Monthly,starter,standard,W2049,sierra-ops,prod,U3211,2025-05-30 15:31:41,2025-05-30 17:40:41,2025-05-31 22:15:41,medium,performance,resolved,5,129,1844,240,true,false,1,2025-05-01,2025-05-01
T10082,A1025,Bright Capital,smb,EMEA,UK,Starter Monthly,starter,standard,W2050,bright-core,prod,U3219,2025-05-29 12:51:15,2025-05-29 13:35:15,2025-06-01 00:01:15,high,api_limit,resolved,5,44,3550,60,true,false,3,2025-05-01,2025-06-01
T10083,A1025,Bright Capital,smb,EMEA,UK,Starter Monthly,starter,standard,W2050,bright-core,prod,U3219,2025-06-07 18:38:08,2025-06-07 20:40:08,2025-06-10 03:52:08,medium,sso,resolved,5,122,3434,240,true,false,3,2025-06-01,2025-06-01
T10085,A1027,BluePeak Health,smb,APAC,SG,Starter Monthly,starter,standard,W2053,bluepeak-ops,prod,U3231,2025-05-21 14:59:51,2025-05-21 15:07:51,2025-05-24 01:30:51,urgent,data_freshness,resolved,4,8,3511,30,true,false,3,2025-05-01,2025-05-01
T10086,A1028,Apex Energy,mid_market,APAC,SG,Enterprise Monthly,enterprise,premium,W2054,apex-core,prod,U3234,2025-05-02 09:17:06,2025-05-03 01:18:06,2025-05-04 21:40:06,low,permissions,resolved,4,961,3623,1440,true,false,2,2025-05-01,2025-05-01
T10088,A1028,Apex Energy,mid_market,APAC,SG,Enterprise Monthly,enterprise,premium,W2054,apex-core,prod,U3243,2025-05-07 04:35:29,2025-05-07 15:02:29,2025-05-09 12:27:29,low,dashboard_filter,resolved,5,627,3352,1440,true,false,2,2025-05-01,2025-05-01
T10089,A1029,Bright Labs,enterprise,APAC,NZ,Starter Monthly,starter,standard,W2056,bright-core,prod,U3257,2025-04-10 09:20:33,2025-04-10 11:07:33,2025-04-11 20:56:33,medium,api_limit,resolved,5,107,2136,240,true,false,1,2025-04-01,2025-04-01
T10091,A1029,Bright Labs,enterprise,APAC,NZ,Starter Monthly,starter,standard,W2056,bright-core,prod,U3253,2025-06-16 07:30:22,2025-06-16 12:05:22,,low,permissions,in_progress,,275,,1440,true,true,281,2025-06-01,
T10092,A1029,Bright Labs,enterprise,APAC,NZ,Starter Monthly,starter,standard,W2056,bright-core,prod,U3247,2025-06-03 06:32:18,2025-06-03 08:36:18,,medium,sso,in_progress,,124,,240,true,true,294,2025-06-01,
T10093,A1029,Bright Labs,enterprise,APAC,NZ,Starter Monthly,starter,standard,W2056,bright-core,prod,U3247,2025-05-10 07:16:19,2025-05-10 07:38:19,,high,performance,open,,22,,60,true,true,318,2025-05-01,
T10094,A1030,Northwind Analytics,enterprise,EMEA,UK,Enterprise Monthly,enterprise,premium,W2059,northwind-finance,prod,U3268,2025-06-11 15:44:02,2025-06-12 00:45:02,2025-06-14 22:47:02,low,dashboard_filter,resolved,5,541,4743,1440,true,false,3,2025-06-01,2025-06-01
T10095,A1030,Northwind Analytics,enterprise,EMEA,UK,Enterprise Monthly,enterprise,premium,W2060,northwind-marketing,prod,U3261,2025-04-19 11:22:00,2025-04-19 11:50:00,2025-04-21 16:57:00,high,dashboard_filter,resolved,4,28,3215,60,true,false,2,2025-04-01,2025-04-01
T10097,A1030,Northwind Analytics,enterprise,EMEA,UK,Enterprise Monthly,enterprise,premium,W2057,northwind-core,prod,U3267,2025-05-21 03:08:09,2025-05-21 07:50:09,2025-05-22 13:23:09,low,dashboard_filter,resolved,3,282,2055,1440,true,false,1,2025-05-01,2025-05-01
T10098,A1031,Helio Holdings,mid_market,APAC,AU,Growth Monthly,growth,priority,W2061,helio-core,prod,U3277,2025-04-07 13:23:25,2025-04-07 15:36:25,2025-04-09 05:44:25,medium,sso,resolved,2,133,2421,240,true,false,2,2025-04-01,2025-04-01
T10099,A1031,Helio Holdings,mid_market,APAC,AU,Growth Monthly,growth,priority,W2062,helio-ops,prod,U3281,2025-04-28 20:40:52,2025-04-29 05:24:52,2025-05-01 11:20:52,low,model_error,resolved,3,524,3760,1440,true,false,3,2025-04-01,2025-05-01
T10101,A1031,Helio Holdings,mid_market,APAC,AU,Growth Monthly,growth,priority,W2061,helio-core,prod,U3281,2025-05-24 20:51:20,2025-05-24 23:55:20,2025-05-25 20:43:20,medium,api_limit,resolved,4,184,1432,240,true,false,1,2025-05-01,2025-05-01
T10102,A1032,Vertex Works,mid_market,EMEA,DE,Growth Monthly,growth,priority,W2064,vertex-core,prod,U3287,2025-06-25 07:28:37,2025-06-25 10:31:37,2025-06-26 00:40:37,medium,cancellation,resolved,1,183,1032,240,true,false,1,2025-06-01,2025-06-01
T10103,A1032,Vertex Works,mid_market,EMEA,DE,Growth Monthly,growth,priority,W2064,vertex-core,prod,U3286,2025-06-11 21:23:04,2025-06-11 21:55:04,2025-06-14 20:44:04,high,api_limit,resolved,2,32,4281,60,true,false,3,2025-06-01,2025-06-01
T10105,A1033,Lighthouse Global,mid_market,NA,CA,Growth Monthly,growth,priority,W2066,lighthouse-core,prod,U3291,2025-05-20 21:14:18,2025-05-21 12:12:18,2025-05-24 00:47:18,low,performance,resolved,4,898,4533,1440,true,false,4,2025-05-01,2025-05-01
T10106,A1033,Lighthouse Global,mid_market,NA,CA,Growth Monthly,growth,priority,W2067,lighthouse-ops,prod,U3292,2025-04-08 21:02:43,2025-04-09 00:34:43,2025-04-11 16:29:43,medium,api_limit,resolved,5,212,4047,240,true,false,3,2025-04-01,2025-04-01
T10107,A1034,Helio Partners,smb,NA,CA,Starter Monthly,starter,standard,W2069,helio-ops,sandbox,U3302,2025-06-09 13:51:35,2025-06-10 05:31:35,2025-06-12 16:46:35,low,permissions,resolved,5,940,4495,1440,true,false,3,2025-06-01,2025-06-01
T10108,A1034,Helio Partners,smb,NA,CA,Starter Monthly,starter,standard,W2068,helio-core,prod,U3304,2025-05-12 09:49:56,2025-05-12 12:17:56,2025-05-12 21:49:56,medium,performance,resolved,3,148,720,240,true,false,0,2025-05-01,2025-05-01
T10110,A1035,Bright Retail,mid_market,EMEA,UK,Enterprise Monthly,enterprise,premium,W2071,bright-ops,sandbox,U3317,2025-06-07 15:20:28,2025-06-07 15:55:28,2025-06-08 16:25:28,high,api_limit,resolved,5,35,1505,60,true,false,1,2025-06-01,2025-06-01
T10111,A1035,Bright Retail,mid_market,EMEA,UK,Enterprise Monthly,enterprise,premium,W2070,bright-core,prod,U3314,2025-04-03 14:44:28,2025-04-03 17:39:28,2025-04-06 11:17:28,medium,permissions,resolved,4,175,4113,240,true,false,3,2025-04-01,2025-04-01
T10112,A1035,Bright Retail,mid_market,EMEA,UK,Enterprise Monthly,enterprise,premium,W2072,bright-finance,prod,U3316,2025-05-02 23:05:03,2025-05-02 23:53:03,2025-05-04 17:15:03,high,dashboard_filter,resolved,4,48,2530,60,true,false,2,2025-05-01,2025-05-01
T10113,A1035,Bright Retail,mid_market,EMEA,UK,Enterprise Monthly,enterprise,premium,W2071,bright-ops,sandbox,U3317,2025-04-15 03:50:21,2025-04-15 07:37:21,2025-04-18 03:18:21,medium,performance,resolved,4,227,4288,240,true,false,3,2025-04-01,2025-04-01
T10115,A1036,Granite Holdings,smb,NA,US,Growth Monthly,growth,priority,W2073,granite-core,prod,U3322,2025-04-06 23:20:44,2025-04-07 02:05:44,2025-04-08 21:27:44,medium,sso,resolved,5,165,2767,240,true,false,2,2025-04-01,2025-04-01
T10116,A1036,Granite Holdings,smb,NA,US,Growth Monthly,growth,priority,W2074,granite-ops,sandbox,U3322,2025-06-07 15:31:40,2025-06-07 18:29:40,2025-06-10 06:01:40,medium,dashboard_filter,resolved,5,178,3750,240,true,false,3,2025-06-01,2025-06-01
T10117,A1036,Granite Holdings,smb,NA,US,Growth Monthly,growth,priority,W2074,granite-ops,sandbox,U3322,2025-05-17 20:53:41,2025-05-17 23:48:41,2025-05-18 23:22:41,medium,permissions,resolved,4,175,1589,240,true,false,1,2025-05-01,2025-05-01
T10119,A1037,Lighthouse Network,enterprise,EMEA,UK,Enterprise Monthly,enterprise,premium,W2076,lighthouse-ops,prod,U3338,2025-05-12 06:21:19,2025-05-12 06:46:19,2025-05-12 13:35:19,high,sso,resolved,5,25,434,60,true,false,0,2025-05-01,2025-05-01
T10120,A1037,Lighthouse Network,enterprise,EMEA,UK,Enterprise Monthly,enterprise,premium,W2076,lighthouse-ops,prod,U3331,2025-04-22 02:39:35,2025-04-22 03:47:35,,medium,sso,in_progress,,68,,240,true,true,336,2025-04-01,
